0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2376,2386,1210,3937,4775,4032,3929,3430,2872,4477,3152,3087,3771,4006,4658,3790,3135,1897,1753,3562,2444,3535,4313,3136,1560
2171,2181,1369,4617,4570,3827,3724,3225,2667,4819,2947,2882,3566,3801,4453,3584,2930,1692,1548,3357,2239,3329,4108,2931,1355
2232,2241,1535,4672,4630,3888,3784,3286,2728,4880,3008,2943,3627,3862,4517,3645,2991,1753,1608,3418,2300,3390,4172,2995,1416
2065,2075,1205,4464,4464,3721,3618,3119,2562,4714,2842,2777,3460,3696,4348,3479,2825,1587,1442,3252,2134,3224,4003,2825,1249
1969,1979,1465,4723,4368,3625,3522,3023,2465,4617,2745,2680,3364,3599,4251,3383,2729,1489,1344,3155,2037,3128,3906,2729,1214
1879,1889,1676,4935,4278,3535,3432,2933,2376,4528,2656,2591,3274,3510,4162,3293,2639,1444,1300,3066,1947,3038,3817,2639,1315
2333,2343,1499,4226,4732,3989,3886,3387,2829,4981,3109,3044,3728,3963,4615,3746,3092,1854,1710,3519,2401,3491,4270,3093,1517
2264,2274,1506,4490,4663,3920,3817,3318,2760,4913,3041,2976,3659,3895,4547,3678,3024,1786,1641,3451,2332,3423,4202,3024,1448
2033,2043,1413,4672,4432,3689,3586,3087,2529,4682,2809,2744,3428,3664,4316,3447,2793,1555,1410,3220,2101,3192,3970,2793,1061
2357,2367,1599,4688,4625,4013,3887,3411,2853,5005,3110,3068,3752,3987,4395,3748,3117,1879,1734,3521,2425,3493,4050,2873,1541
2317,2327,1738,4827,4451,3973,3713,3371,2813,4966,2937,3028,3712,3948,4222,3574,3077,1821,1677,3347,2385,3319,3876,2699,1665
2036,2046,2043,5179,4274,3692,3535,3090,2532,4684,2759,2747,3431,3667,4044,3396,2796,1795,1650,3169,2104,3141,3699,2521,1666
2053,2063,1657,4915,4452,3709,3606,3107,2549,4701,2829,2764,3448,3683,4321,3466,2812,1573,1428,3239,2121,3211,3976,2799,1406
1901,1911,1650,4909,4300,3557,3454,2956,2398,4550,2678,2613,3296,3532,4184,3315,2661,1421,1277,3088,1970,3060,3839,2661,1292
