0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
3796,3515,2712,4304,3699,4384,4272,3900,2876,1216,2730,2669,3678,2992,4286,3899,4126,3708,3885,2538,2624,776,1537,2747,2939,2290,2495,2890,3324,4581
3591,3310,2507,4099,3494,4179,4347,3695,2671,1010,2525,2464,3473,2787,4081,4730,3921,3924,3680,2697,2524,571,1521,2769,2960,2316,2521,2916,4005,5077
3652,3371,2568,4160,3555,4243,4411,3756,2732,1071,2586,2528,3537,2848,4145,4791,3986,3988,3744,3035,2268,632,1686,2809,3000,2482,2687,3067,4060,5142
3486,3204,2402,3994,3389,4073,4242,3590,2566,905,2420,2359,3367,2681,3976,4625,3816,3819,3575,2532,2419,465,1357,2604,2796,2152,2357,2752,3851,4972
3389,3108,2305,3897,3292,3977,4145,3493,2469,745,2324,2262,3271,2585,3879,4528,3719,3722,3478,2792,2323,430,1598,2607,2798,2510,2629,2866,4111,4876
3300,3018,2216,3808,3203,3887,4056,3404,2380,701,2234,2173,3181,2495,3790,4438,3630,3633,3389,3010,2233,447,1837,2708,2899,2624,2730,2967,4540,4786
3753,3472,2669,4261,3656,4341,4509,3857,2833,1172,2687,2626,3635,2949,4243,4188,4083,4086,3842,3007,2581,733,1605,2853,3044,2401,2606,3000,3614,4870
3685,3403,2601,4193,3588,4272,4441,3789,2765,1104,2619,2558,3566,2880,4175,4453,4015,4018,3774,2973,2336,664,1658,2906,3097,2454,2658,3053,3878,5171
3453,3172,2370,3962,3356,4041,4210,3557,2534,873,2388,2327,3335,2649,3944,4592,3784,3787,3543,2741,2387,433,1345,2531,2723,2257,2462,2829,4060,4940
3754,3496,2671,4285,3657,4121,4289,3881,2857,1197,2712,2406,3415,2973,4023,4908,3864,3867,3622,2913,2146,757,1751,2998,3190,2546,2751,3146,4075,5020
3581,3456,2497,4246,3484,3947,4116,3841,2817,1078,2743,2233,3241,2933,3850,4734,3690,3693,3449,2739,1972,881,1890,3058,3250,2686,2891,3285,4215,4846
