0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
4100,3475,3733,3750,3404,3437,3431,2771,3958,4056,3710,3579,3505,3472,3825,3616,3494,3488,3135,3264,3859,3685,3562,3738,3746,3636,3509,3880,3307,3323,3806,3581,3891,4114,3976,3844,3263,3280,3370,3033
4428,3779,4028,4052,3704,3736,3729,3068,4279,4372,4007,3872,3804,3801,4119,3914,3799,3816,3437,3566,4122,3996,3860,4032,4041,3943,3810,4188,3606,3649,4069,3884,4217,4376,4269,4162,3565,3608,3674,3342
2750,1907,2179,2174,1828,1854,1854,1143,2211,2135,2146,2014,1970,1966,2302,2043,1890,2334,1532,1686,2211,2508,1988,2180,2175,2241,1941,2502,1728,2126,2162,2004,2223,2393,2451,3224,1685,2155,3707,1916
4087,3333,3593,3605,3261,3301,3288,2628,3992,3554,3577,3442,3362,3510,3684,3474,3352,3526,3001,3129,3919,3657,3420,3596,3603,3628,3366,3907,3164,3360,3866,3440,3923,4198,3856,3882,3128,3318,3336,3005
3847,3137,3400,3416,3066,3101,3093,2432,3473,3358,3389,3247,3168,3429,3512,3280,3163,3458,2808,2937,3395,3419,3225,3405,3404,3370,3173,3605,2968,3280,3343,3243,3478,3607,3604,3803,2936,3250,4171,2766
2470,1635,1901,1890,1551,1694,1581,1011,2053,1988,1994,1738,1692,1808,2036,1769,1728,2177,1376,1530,1913,2233,1716,1948,1901,1978,1671,2262,1483,1973,1901,1760,2069,2241,2211,3255,1536,2015,3868,1668
3855,3141,3401,3421,3070,3103,3097,2436,3823,3365,3397,3251,3170,3338,3512,3283,3172,3355,2810,2940,3741,3420,3228,3407,3401,3370,3174,3605,2972,3191,3688,3248,3761,4019,3602,3714,2939,3148,3536,2771
3379,2603,2869,2880,2532,2575,2559,1891,2953,2842,2873,2715,2647,2772,2990,2744,2639,2793,2275,2413,2863,2956,2689,2872,2877,2919,2640,3193,2434,2625,2811,2710,2957,3072,3141,3426,2412,2584,3662,2302
2785,2139,2618,2412,2065,2525,2094,1841,2448,2477,2554,2254,2115,2504,2461,2278,2591,2988,1996,1946,2406,2455,2223,2413,2413,2394,2177,2661,1966,2774,2356,2242,2563,2613,2610,3604,1945,2835,3059,1803
4665,4026,4275,4296,3959,3994,3984,3327,4549,4239,4254,4125,4062,4078,4393,4169,4056,4094,3667,3819,4336,4224,4115,4280,4290,4310,4061,4560,3857,3928,4283,4133,4500,4622,4509,4468,3818,3886,3786,3573
1365,776,615,908,465,1591,496,1514,1070,961,1072,687,946,1127,939,912,1684,1930,1134,985,1061,996,861,751,660,830,532,1080,457,1362,1015,875,1185,1251,857,1803,984,1722,3543,1447
