0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
4239,3156,5084,3414,3600,3445,3491,3779,4135,4360,4301,4604,4269,3467,3886,4066,1340,4223,5221,6288,5147
4514,3448,5375,3703,3906,3738,3786,4078,4423,4653,4596,4890,4569,3754,4184,4342,993,4529,5500,6581,5444
2544,1358,4001,1860,2017,1772,1913,2325,2426,3543,3399,3868,3447,2209,2015,2779,3126,2269,4297,5977,4833
3998,2876,4874,3044,3210,3382,3124,3388,3901,4291,4090,4540,4206,3233,3817,3825,1834,4145,4999,6227,5086
3890,2709,4761,2978,3159,3104,3055,3341,3803,4178,3994,4426,4092,3136,3370,3729,2774,3587,4905,6672,5536
2365,1136,3467,1464,1635,1572,1520,1824,2243,2808,2617,3495,3150,1665,1803,2263,3202,2056,3272,5684,4539
3908,2829,4777,2996,3178,3237,3073,3357,3821,4143,4012,4391,4057,3154,3678,3747,1952,4006,4921,6087,4944
3346,2400,4216,2380,2557,2553,2457,2742,3256,3594,3438,3919,3494,2584,3067,3178,2253,2982,4349,6027,4884
2814,2040,3680,1922,2090,2525,1989,2281,2716,3182,2897,3406,3890,2045,2385,2643,2854,2514,3806,6401,5263
4596,3631,5497,3805,4014,3902,3883,4163,4543,4827,4698,5027,4741,3873,4278,4463,339,4624,5702,6749,5613
1184,1091,2875,635,790,1642,629,973,1493,1749,2509,2134,2123,1601,1070,1539,4245,1202,2667,5844,4696
1177,1090,2809,909,651,1423,235,740,1369,1535,2586,1923,1899,1680,866,1470,3948,991,2597,5843,4695
791,1028,2416,1178,243,1043,599,452,1082,1171,2283,1562,1528,1101,547,1065,4207,648,2195,5751,4603
971,1119,2593,970,454,1421,370,572,1261,1528,2613,1921,1897,1275,864,1253,4162,986,2378,6105,4961
2677,3660,4064,3492,2706,2991,3019,3057,2662,1896,4458,2610,2800,2805,2822,3032,7012,3053,3930,7623,6493
1740,2647,2797,2514,1696,1940,2009,2055,1509,926,2632,1801,1783,1923,1825,2134,5189,2033,2584,6550,5413
2308,3157,2921,3015,2218,2460,2535,2574,2282,1845,3072,1941,2653,2428,2334,2648,6847,2552,3038,7476,6338
2688,3603,2589,3448,2651,2893,2963,3001,2657,2157,3162,2249,2975,2872,2768,3099,7178,3058,2954,7797,6659
2626,4280,2934,3598,3506,3005,3659,3706,2592,2265,3276,2547,3280,2810,2879,3037,6317,2999,3312,8111,6974
2728,3590,3714,3434,2638,2880,2950,2988,2705,2235,3829,2332,3062,2843,2753,3071,7272,2976,3784,7884,6744
2023,2857,2738,2725,1920,2165,2237,2280,1983,1517,2886,1606,2305,2134,2051,2350,6516,2251,2848,7137,6008
1312,2420,2309,2132,1500,1915,1800,1857,1007,1170,2138,1989,2017,1299,1797,1728,4711,1931,2074,6791,5659
1093,2669,2525,2200,1888,1614,2063,2112,1123,1088,2369,1871,1942,1183,1502,1621,4789,1386,2298,6712,5580
1984,2809,3138,2712,1873,2128,2196,2234,1941,1263,3305,1353,2046,2074,2010,2530,6262,2210,3242,6896,5754
2491,3240,3468,2700,2828,3587,2722,3007,2412,2909,2671,3720,3721,1735,3119,2341,3256,2553,3576,7308,6203
3797,2758,4918,2959,3106,3089,3001,3284,3751,4142,3753,4379,3991,3080,3426,3685,1678,3532,4602,6730,5598
3460,3214,4611,3115,3264,3350,3158,3440,3401,3861,3418,4637,4261,2728,3554,3335,2328,3547,4273,6812,5680
3387,4122,3603,3550,3589,4437,3479,3766,3317,3780,2382,4601,4622,2643,3879,3253,3573,3281,3246,8207,7073
3086,3812,4237,3252,3296,4124,3188,3472,3006,3471,3035,4288,4311,2328,3587,2943,3222,3148,3888,8285,7151
3938,3708,5015,3605,3755,4395,3649,3931,3879,4339,3867,5150,5736,3205,4045,3810,2705,4029,4723,7773,6638
2899,2647,4290,2544,2694,3317,2589,2873,2793,3717,3494,4013,4449,2580,2982,3190,2902,3114,4400,6992,5863
3202,2809,4342,2710,2859,3478,2754,3037,3134,3597,3103,4416,4606,2458,3151,3068,2159,3282,4012,7217,6086
1967,2402,4159,2251,1434,1413,1738,1861,2107,1429,3903,1213,544,2736,1288,2324,4827,1509,3865,5498,4358
1762,2208,3626,2050,1234,1215,1527,1663,1975,985,3473,1454,550,2309,1076,2745,4955,1309,3438,5617,4475
1462,2299,2819,2177,1359,1610,1662,1718,1420,743,2677,1527,1584,1494,1487,1938,5075,1462,2611,6352,5218
1624,2036,3404,1910,1083,1394,1388,1442,1583,772,3265,1379,1321,2087,1220,2530,5441,1185,3218,6087,4953
1552,1981,3368,1830,994,1301,1296,1348,1507,738,3220,1106,1181,2055,1122,1933,5305,1111,3172,5954,4816
2374,2793,3784,2674,1859,2137,2177,2216,2340,1406,3840,670,1866,2670,1974,3113,6061,1962,3802,6695,5564
1825,2249,3582,2111,1296,1586,1602,1654,1782,839,3319,632,1046,2150,1417,2592,5442,1398,3282,6089,4952
1888,2336,3740,2175,1359,1343,1669,1721,1845,1102,3587,1579,1201,2420,1413,2276,5424,1461,3555,6074,4937
2007,2914,3352,2782,1978,2260,2293,2326,1959,946,3275,1164,1918,2108,2088,2551,6111,2421,3241,6744,5613
2556,3701,3891,3562,2754,3042,3067,3103,2526,1907,3836,1585,2811,2666,2863,3109,7003,2864,3798,7623,6491
1530,2166,2967,2025,1215,1504,1522,1574,1486,206,2825,1211,1248,1640,1333,2074,5361,1655,2761,6011,4875
1469,1919,3498,1753,922,1017,1233,1365,1562,1130,3345,1609,1070,2178,811,1825,5294,992,3309,5948,4810
6828,6170,8699,6822,6461,5811,6695,6835,6774,6788,8206,7056,6644,7221,6207,7238,8113,6530,8576,2844,5103
5229,4544,7051,5201,4842,4203,5061,5226,5171,5131,6548,5427,4996,5578,4576,5605,6417,4927,6914,1649,2827
4155,3301,5972,3956,3692,2963,3870,4116,4100,3864,5288,4178,3722,4336,3456,4494,5153,3773,5844,2897,1416
4147,3290,5983,3960,3685,2958,3853,4107,4092,3854,5286,4168,3717,4326,3448,4505,5151,3785,5837,2516,1894
5766,5096,7599,5766,5386,4746,5624,5768,5708,5692,7118,5982,5551,6143,5124,6155,6993,5463,7464,1798,4035
4516,3663,6343,4331,4061,3329,4184,4458,4458,4237,5667,4549,4098,4700,3804,4882,5536,4139,6195,2533,2560
6324,5662,8184,6328,5950,5308,6187,6326,6270,6268,7694,6546,6130,6721,5692,6724,7577,6014,8055,1987,4597
5454,4785,7278,5451,5073,4431,5306,5452,5398,5376,6803,5670,5234,5827,4808,5841,6668,5156,7145,780,3717
7314,6664,9198,7329,6964,6301,7192,7333,7266,7299,8683,7467,7145,7702,6722,7734,8624,7016,9081,2522,5594
5095,4416,6915,5084,4706,4070,4935,5095,5037,5000,6397,5221,4862,5453,4475,5469,6290,4788,6773,1116,3336
5325,4645,7148,5313,4941,4303,5163,5324,5267,5233,6629,5450,5096,5681,4709,5709,6517,5024,7010,1744,2931
4808,3979,6629,4650,4416,3641,4503,4810,4750,4562,5967,4794,4423,5022,4167,5182,5858,4483,6483,5611,4470
4682,3865,6503,4540,4265,3529,4381,4659,4624,4444,5848,4681,4307,4898,4031,5082,5741,4347,6359,2480,2315
5921,5253,7762,5921,5542,4904,5780,5918,5863,5855,7249,6057,5716,6299,5311,6320,7151,5616,7624,1333,4191
4945,4245,6762,4916,4552,3918,4769,4947,4887,4841,6238,5065,4701,5290,4321,5317,6132,4634,6620,1524,3020
7052,6395,8928,7054,6693,6040,6921,7066,7000,7026,8403,7202,6884,7449,6459,7467,8347,6751,8807,3074,5329
3184,2300,5039,2967,2721,1996,2865,3124,3130,2846,4283,3116,2692,3359,2503,3546,4139,2800,4861,3938,2760
3772,2933,5616,3599,3326,2608,3493,3726,3714,3502,4903,3785,3360,3974,3100,4129,4804,3407,5456,2961,1228
1097,1925,2723,1332,1440,2294,1355,1633,980,2093,2052,2482,2561,860,1758,1339,3973,1432,2519,6336,5232
1553,1757,2808,1358,1285,2132,1182,1479,1431,2171,1977,2978,2613,979,1598,1577,3631,1635,2599,6065,4960
971,1622,2697,1062,868,1600,789,933,1276,1711,2406,2089,2073,1462,1060,1511,4316,1266,2484,6353,5249
1016,1744,2637,1308,1293,2140,1191,1487,912,1959,2064,2408,2487,1026,1606,1264,4291,1307,2428,6471,5369
891,1665,2741,1188,1010,1809,915,1131,1177,2137,2354,2299,2254,1399,1240,1272,4521,1003,2542,6390,5260
1357,1328,2934,629,861,1711,711,1078,1549,1869,2630,2205,2185,1787,1168,1813,4435,1299,2847,6069,5003
1087,1418,2944,854,975,1674,675,1020,1389,1811,2428,2193,2153,1482,1131,1475,4374,1248,2747,6163,5057
985,1539,2607,1258,835,1614,900,957,1279,1756,2567,2138,2096,1295,1074,1240,4431,1208,2402,6291,5186
934,1455,2779,1010,1040,1895,943,1245,1096,2239,2026,2396,2374,1062,1358,1262,4129,958,2583,6197,5092
995,1510,2583,1066,943,1605,998,1069,914,1979,2203,2164,2089,1331,1067,1209,4367,816,2377,6248,5144
924,1834,2440,1403,1131,1811,1191,1278,804,1837,2110,2283,2364,1061,1278,1047,4409,1007,2235,6671,5572
1365,1622,3017,1076,1434,2284,1331,1628,1289,2467,2274,2768,2759,1322,1736,1642,3874,1388,2825,6075,4970
1371,1490,3043,764,1085,1933,986,1290,1656,2064,2357,2436,2420,1411,1400,1690,4022,1394,2851,6249,5141
1062,1553,2777,1356,634,1086,851,1064,1277,1486,2656,1667,1573,1470,610,1416,4329,586,2584,5804,4688
616,2171,2634,1424,1320,1445,1503,1571,856,1251,2498,2067,1925,1313,914,1141,4722,722,2435,6129,5019
