GSS_CODE,score
E05000405,0.000462475
E05000414,0.000421361
E05000401,0.000421361
E05000400,0.000421361
E05000402,0.000421361
E05000406,0.000421361
E05000404,0.000404558
E05000413,0.000404558
E05000410,0.000439053
E05000412,0.000404558
E05000408,0.000404558
E05000403,0.000404558
E05000409,0.000421361
E05000407,0.000421361
E05000411,0.000439053
E05000415,0.000462566
E05000150,0.000445261
E05000162,0.000506087
E05000151,0.000445814
E05000167,0.00045023
E05000156,0.000445261
E05000159,0.000453981
E05000160,0.000488513
E05000155,0.000538332
E05000153,0.000530817
E05000149,0.000454636
E05000168,0.000411937
E05000148,0.000507423
E05000158,0.000507423
E05000157,0.000294672
E05000152,0.000461872
E05000154,0.000443751
E05000163,0.000578335
E05000161,0.000507423
E05000147,0.000537621
E05000169,0.000547941
E05000165,0.000507423
E05000166,0.000526539
E05000164,0.000575387
E05000146,0.000482428
E05000117,0.000313355
E05000119,0.000328826
E05000108,0.00032668
E05000110,0.000316355
E05000107,0.000301848
E05000127,0.000332294
E05000112,0.00051492
E05000120,0.000511072
E05000118,0.000313908
E05000126,0.00033533
E05000109,0.000331863
E05000106,0.000348855
E05000124,0.000319841
E05000116,0.000494459
E05000123,0.000548839
E05000113,0.000551875
E05000125,0.000337968
E05000111,0.000399555
E05000121,0.00040468
E05000122,0.000319841
E05000115,0.000328092
E05000114,0.000321987
E05000346,0.000421482
E05000353,0.000423998
E05000350,0.000439703
E05000364,0.000424723
E05000357,0.000439703
E05000356,0.000424723
E05000363,0.000427759
E05000347,0.000549833
E05000348,0.000483666
E05000352,0.000421482
E05000354,0.000423998
E05000351,0.000424723
E05000359,0.000409539
E05000361,0.000424723
E05000355,0.000427759
E05000360,0.000424723
E05000362,0.000439703
E05000358,0.000424723
E05000349,0.000490031
E05000365,0.000549833
E05000186,0.000435501
E05000190,0.000427759
E05000185,0.00053424
E05000172,0.000496458
E05000177,0.00053424
E05000183,0.000541519
E05000182,0.000521036
E05000175,0.00058935
E05000189,0.000427759
E05000176,0.000435501
E05000192,0.000462744
E05000181,0.000496458
E05000184,0.00053424
E05000180,0.00053424
E05000171,0.000563107
E05000178,0.00055015
E05000187,0.000571665
E05000174,0.000565743
E05000173,0.00055015
E05000188,0.000549833
E05000191,0.000521036
E05000170,0.000565743
E05000179,0.000571665
E05000323,0.000333791
E05000318,0.000424184
E05000321,0.00043557
E05000308,0.000398545
E05000306,0.000331202
E05000319,0.000310681
E05000316,0.000314398
E05000317,0.00031161
E05000311,0.000390119
E05000320,0.000321847
E05000309,0.000326441
E05000322,0.000326441
E05000312,0.000363882
E05000307,0.000315615
E05000313,0.000307043
E05000314,0.000325992
E05000310,0.000322188
E05000315,0.000314398
E05000331,0.000429898
E05000330,0.000425882
E05000342,0.000436667
E05000345,0.000436667
E05000341,0.000412575
E05000326,0.000414428
E05000340,0.000435007
E05000332,0.000435007
E05000333,0.000496458
E05000343,0.000420317
E05000335,0.000398282
E05000338,0.00053424
E05000334,0.000455976
E05000329,0.00041228
E05000336,0.000409668
E05000337,0.000439703
E05000325,0.000439703
E05000328,0.000420317
E05000339,0.000435501
E05000324,0.000443628
E05000344,0.000462744
E05000327,0.000428444
E05000302,0.000496458
E05000289,0.000515778
E05000297,0.00041415
E05000298,0.000409668
E05000288,0.000507362
E05000292,0.00041415
E05000296,0.00050573
E05000290,0.000493068
E05000303,0.000428236
E05000286,0.000451609
E05000300,0.00041228
E05000301,0.000435007
E05000305,0.00044756
E05000291,0.000472746
E05000293,0.000425882
E05000295,0.000522976
E05000304,0.000504627
E05000285,0.000545015
E05000294,0.000556185
E05000299,0.000547627
E05000287,0.000556481
E05000096,0.000523057
E05000104,0.000563107
E05000097,0.000564897
E05000100,0.000582648
E05000103,0.000616568
E05000086,0.000563044
E05000090,0.000564897
E05000101,0.000541519
E05000085,0.000571665
E05000092,0.000597909
E05000091,0.000571665
E05000105,0.000571665
E05000098,0.000573757
E05000087,0.000571665
E05000094,0.000576394
E05000102,0.000571665
E05000093,0.000556481
E05000089,0.000571665
E05000088,0.000616568
E05000095,0.000582648
E05000099,0.000563044
E05000060,0.000505305
E05000056,0.000328809
E05000062,0.000616568
E05000053,0.000616568
E05000046,0.000616568
E05000045,0.000616568
E05000052,0.000616568
E05000051,0.000627218
E05000049,0.000627218
E05000050,0.000567464
E05000057,0.000627218
E05000054,0.000607946
E05000059,0.000507162
E05000058,0.000505305
E05000063,0.000618597
E05000047,0.000618597
E05000043,0.000512041
E05000048,0.000511868
E05000044,0.00057588
E05000055,0.000627218
E05000061,0.000618597
E05000431,0.000492403
E05000428,0.00054256
E05000432,0.000566211
E05000424,0.000571954
E05000433,0.00063165
E05000430,0.000595645
E05000418,0.000642537
E05000417,0.00063165
E05000435,0.000623091
E05000420,0.000708424
E05000421,0.000698947
E05000425,0.000708424
E05000426,0.000708424
E05000436,0.000708424
E05000422,0.000580081
E05000434,0.000640395
E05000423,0.000708424
E05000416,0.000696481
E05000419,0.000665027
E05000429,0.000708424
E05000427,0.000708424
E05000538,0.000580081
E05000548,0.000604045
E05000554,0.000697537
E05000551,0.000605102
E05000539,0.000697537
E05000547,0.000605102
E05000535,0.000708424
E05000534,0.000708424
E05000553,0.000615989
E05000545,0.000615989
E05000546,0.000615989
E05000544,0.000708424
E05000541,0.000615989
E05000540,0.000615989
E05000543,0.000615989
E05000550,0.000615989
E05000536,0.000696481
E05000542,0.000604045
E05000549,0.0004382
E05000552,0.0004382
E05000537,0.000696481
E05000437,0.00055798
E05000453,0.000615989
E05000442,0.000568868
E05000454,0.000568868
E05000438,0.00040468
E05000452,0.000645968
E05000444,0.000697537
E05000450,0.00055798
E05000451,0.000568868
E05000440,0.000568868
E05000441,0.000615989
E05000446,0.000615989
E05000448,0.000570525
E05000439,0.000615989
E05000449,0.000450144
E05000445,0.000401212
E05000447,0.00040468
E05000443,0.000450144
E05000224,0.000450144
E05000217,0.000399555
E05000219,0.000399555
E05000227,0.00040468
E05000225,0.000450144
E05000230,0.000450144
E05000222,0.000450144
E05000220,0.000450144
E05000215,0.000450144
E05000223,0.000450144
E05000218,0.00040468
E05000216,0.000450144
E05000229,0.00040468
E05000226,0.000327036
E05000221,0.000399555
E05000228,0.000377736
E05000214,0.00033898
E05000078,0.000399555
E05000066,0.000399555
E05000072,0.000399555
E05000083,0.000399555
E05000081,0.000399555
E05000071,0.000399555
E05000079,0.00033898
E05000075,0.00033898
E05000065,0.000316149
E05000084,0.000316149
E05000076,0.000399555
E05000074,0.000401212
E05000067,0.00040468
E05000073,0.000401212
E05000069,0.000399555
E05000082,0.000399555
E05000068,0.000399555
E05000080,0.000328092
E05000064,0.000399555
E05000070,0.00033898
E05000077,0.000328092
E05000195,0.000328581
E05000213,0.000535341
E05000196,0.000335698
E05000202,0.000335698
E05000212,0.000402013
E05000205,0.00056109
E05000197,0.000402013
E05000204,0.000395245
E05000200,0.000336148
E05000203,0.00035962
E05000206,0.000376424
E05000198,0.000319999
E05000193,0.000653525
E05000209,0.000639162
E05000208,0.000513584
E05000201,0.000395245
E05000194,0.00035962
E05000210,0.000335698
E05000207,0.000335698
E05000211,0.000335698
E05000199,0.000317151
E05000604,0.0004382
E05000599,0.000395245
E05000600,0.000402013
E05000607,0.000402013
E05000593,0.000357768
E05000591,0.0004382
E05000603,0.0004382
E05000606,0.000416587
E05000596,0.000413739
E05000595,0.0004382
E05000608,0.000395245
E05000601,0.000416587
E05000609,0.000426814
E05000592,0.000402013
E05000597,0.000413399
E05000590,0.0004382
E05000602,0.000402013
E05000594,0.000395245
E05000598,0.000402013
E05000605,0.0004382
E05000515,0.0004382
E05000502,0.0004382
E05000510,0.000413399
E05000511,0.000426814
E05000503,0.000394625
E05000505,0.000413399
E05000495,0.000398545
E05000497,0.000402013
E05000506,0.000343219
E05000507,0.000423627
E05000501,0.000423627
E05000508,0.000413399
E05000514,0.000423627
E05000512,0.000398545
E05000513,0.0004382
E05000500,0.000427973
E05000499,0.000426814
E05000496,0.000416587
E05000504,0.000416587
E05000498,0.000398545
E05000509,0.000402013
E05000559,0.000411432
E05000560,0.000398592
E05000556,0.000402873
E05000562,0.000449704
E05000571,0.000449704
E05000557,0.000420465
E05000561,0.000439053
E05000572,0.000439053
E05000566,0.000411594
E05000567,0.000400943
E05000564,0.000411594
E05000558,0.000411594
E05000565,0.000449704
