GSS_CODE,score
E05000405,0.000608609
E05000414,0.000690392
E05000401,0.000721084
E05000400,0.000743192
E05000402,0.000806378
E05000406,0.00082981
E05000404,0.000621962
E05000413,0.000697589
E05000410,0.00074539
E05000412,0.00071525
E05000408,0.000795728
E05000403,0.000876204
E05000409,0.000815667
E05000407,0.00084856
E05000411,0.000795809
E05000415,0.00086823
E05000150,0.000224909
E05000162,0.000285921
E05000151,0.000293433
E05000167,0.000305177
E05000156,0.000234261
E05000159,0.000317772
E05000160,0.000264342
E05000155,0.000308549
E05000153,0.000356159
E05000149,0.000373076
E05000168,0.00033897
E05000148,0.000383009
E05000158,0.000444623
E05000157,0.000235338
E05000152,0.000297289
E05000154,0.000285224
E05000163,0.000353974
E05000161,0.000368263
E05000147,0.000358513
E05000169,0.000381828
E05000165,0.000402968
E05000166,0.000417782
E05000164,0.000432437
E05000146,0.000344961
E05000117,0.000217814
E05000119,0.000343075
E05000108,0.000309321
E05000110,0.000258719
E05000107,0.000228922
E05000127,0.000351728
E05000112,0.000402043
E05000120,0.000375796
E05000118,0.000276913
E05000126,0.000375134
E05000109,0.000341475
E05000106,0.000382314
E05000124,0.000289684
E05000116,0.000427702
E05000123,0.000438178
E05000113,0.000410769
E05000125,0.000342295
E05000111,0.000381759
E05000121,0.000433789
E05000122,0.000288914
E05000115,0.000301344
E05000114,0.000262961
E05000346,0.000459461
E05000353,0.000706918
E05000350,0.00054746
E05000364,0.000567516
E05000357,0.000417422
E05000356,0.000523193
E05000363,0.000600204
E05000347,0.000734858
E05000348,0.000836893
E05000352,0.00062076
E05000354,0.000677759
E05000351,0.00052177
E05000359,0.000493703
E05000361,0.000550035
E05000355,0.000544166
E05000360,0.00070656
E05000362,0.000866344
E05000358,0.000615551
E05000349,0.000786104
E05000365,0.000761103
E05000186,0.000534514
E05000190,0.000436684
E05000185,0.000463467
E05000172,0.000425716
E05000177,0.000380757
E05000183,0.000381932
E05000182,0.000626558
E05000175,0.000630699
E05000189,0.000353809
E05000176,0.000512965
E05000192,0.000539758
E05000181,0.000374678
