GSS_CODE,score
E05000405,0.001031221
E05000414,0.001183236
E05000401,0.001031221
E05000400,0.001183236
E05000402,0.001392387
E05000406,0.001577457
E05000404,0.001031221
E05000413,0.001031221
E05000410,0.001183236
E05000412,0.001031221
E05000408,0.001072768
E05000403,0.001224782
E05000409,0.001183236
E05000407,0.001577457
E05000411,0.001392387
E05000415,0.001163409
E05000150,0.000848996
E05000162,0.001204859
E05000151,0.000848996
E05000167,0.001204859
E05000156,0.000942825
E05000159,0.001204859
E05000160,0.000995707
E05000155,0.001013377
E05000153,0.001013377
E05000149,0.00106666
E05000168,0.001347617
E05000148,0.001347617
E05000158,0.001347617
E05000157,0.00067018
E05000152,0.001204859
E05000154,0.001013377
E05000163,0.001013377
E05000161,0.001347617
E05000147,0.001013377
E05000169,0.001347617
E05000165,0.001347617
E05000166,0.001413193
E05000164,0.001347617
E05000146,0.001013377
E05000117,0.000321108
E05000119,0.000879332
E05000108,0.00037399
E05000110,0.000391973
E05000107,0.000617299
E05000127,0.001013377
E05000112,0.001413572
E05000120,0.001013377
E05000118,0.000321108
E05000126,0.00126781
E05000109,0.000837574
E05000106,0.000837574
E05000124,0.000628423
E05000116,0.001562113
E05000123,0.001496537
E05000113,0.001419824
E05000125,0.000837574
E05000111,0.001135719
E05000121,0.001010395
E05000122,0.000873685
E05000115,0.000699288
E05000114,0.000646406
E05000346,0.000415253
E05000353,0.001163409
E05000350,0.000825907
E05000364,0.000657831
E05000357,0.000959952
E05000356,0.000959952
E05000363,0.001408157
E05000347,0.002017384
E05000348,0.002187439
E05000352,0.000642532
E05000354,0.001029364
E05000351,0.00054267
E05000359,0.000505894
E05000361,0.00054267
E05000355,0.001111967
E05000360,0.00093613
E05000362,0.001408157
E05000358,0.000959952
E05000349,0.002148777
E05000365,0.002283326
E05000186,0.001033287
E05000190,0.001033287
E05000185,0.001325115
E05000172,0.0011731
E05000177,0.0011731
E05000183,0.001438652
E05000182,0.00175535
E05000175,0.002318504
E05000189,0.000899242
E05000176,0.001547068
E05000192,0.001659464
E05000181,0.0011731
E05000184,0.0011731
E05000180,0.0011731
E05000171,0.001611359
E05000178,0.001477314
E05000187,0.001611359
E05000174,0.00190755
E05000173,0.001611359
E05000188,0.001794013
E05000191,0.00196016
E05000170,0.002265622
E05000179,0.00190755
E05000323,0.000742292
E05000318,0.001046506
E05000321,0.001112083
E05000308,0.000800663
E05000306,0.000762
E05000319,0.000762
E05000316,0.000762
E05000317,0.000762
E05000311,0.000648463
E05000320,0.000648463
