GSS_CODE,score
E05000405,0.001326017
E05000414,0.001355486
E05000401,0.001336544
E05000400,0.001388102
E05000402,0.001403761
E05000406,0.001416558
E05000404,0.001321284
E05000413,0.00133274
E05000410,0.001390959
E05000412,0.001311643
E05000408,0.001329901
E05000403,0.001371765
E05000409,0.001374963
E05000407,0.001413309
E05000411,0.001416522
E05000415,0.001358403
E05000150,0.001180534
E05000162,0.001265122
E05000151,0.001229424
E05000167,0.00129657
E05000156,0.001182533
E05000159,0.001277708
E05000160,0.001226198
E05000155,0.001299543
E05000153,0.001341893
E05000149,0.001351096
E05000168,0.001357419
E05000148,0.001411497
E05000158,0.001464148
E05000157,0.001222133
E05000152,0.001293123
E05000154,0.001272543
E05000163,0.001353362
E05000161,0.001401296
E05000147,0.001378517
E05000169,0.001410891
E05000165,0.001434086
E05000166,0.001463816
E05000164,0.001463859
E05000146,0.001350561
E05000117,0.001186626
E05000119,0.00133498
E05000108,0.001302768
E05000110,0.001234074
E05000107,0.001210659
E05000127,0.001360787
E05000112,0.001434366
E05000120,0.001387198
E05000118,0.00125497
E05000126,0.001370828
E05000109,0.001345134
E05000106,0.001386152
E05000124,0.001298889
E05000116,0.001479492
E05000123,0.00147043
E05000113,0.001420905
E05000125,0.001347132
E05000111,0.001393939
E05000121,0.001455778
E05000122,0.001288285
E05000115,0.001326358
E05000114,0.001289409
E05000346,0.001277618
E05000353,0.001342559
E05000350,0.001378725
E05000364,0.001352908
E05000357,0.001387122
E05000356,0.001373845
E05000363,0.001424163
E05000347,0.001552629
E05000348,0.001557274
E05000352,0.001300309
E05000354,0.001323219
E05000351,0.001346629
E05000359,0.001279156
E05000361,0.001341284
E05000355,0.001387695
E05000360,0.001349018
E05000362,0.00143462
E05000358,0.001372114
E05000349,0.001547006
E05000365,0.001567892
E05000186,0.00141532
E05000190,0.001393582
E05000185,0.001470888
E05000172,0.001410141
E05000177,0.001450748
E05000183,0.00146967
E05000182,0.001504228
E05000175,0.001612859
E05000189,0.001370454
E05000176,0.001447151
E05000192,0.001468873
E05000181,0.001398821
E05000184,0.001435689
E05000180,0.001451132
E05000171,0.001507284
E05000178,0.001487478
E05000187,0.001551577
E05000174,0.001546576
E05000173,0.001511909
E05000188,0.001561994
E05000191,0.001556866
E05000170,0.001579898
E05000179,0.001577337
E05000323,0.001295174
E05000318,0.001406391
E05000321,0.001412745
E05000308,0.001345209
E05000306,0.001305208
E05000319,0.001269219
E05000316,0.001301778
E05000317,0.001288933
E05000311,0.001309092
E05000320,0.001291376
E05000309,0.001244476
E05000322,0.001255292
E05000312,0.001284518
E05000307,0.001265859
E05000313,0.001189951
E05000314,0.001244398
E05000310,0.001242882
E05000315,0.001266176
E05000331,0.001341475
E05000330,0.001299245
E05000342,0.001369775
E05000345,0.001355662
E05000341,0.00133756
E05000326,0.00136912
E05000340,0.001400031
E05000332,0.001380021
E05000333,0.001423888
E05000343,0.001340626
E05000335,0.001261556
E05000338,0.001451726
E05000334,0.001380049
E05000329,0.001310124
E05000336,0.001268341
E05000337,0.001390975
E05000325,0.001366833
E05000328,0.001363259
E05000339,0.001402677
E05000324,0.001401415
E05000344,0.001435097
E05000327,0.001359601
E05000302,0.001395189
E05000289,0.00139927
E05000297,0.001239141
E05000298,0.001273506
E05000288,0.001359618
E05000292,0.001267838
E05000296,0.001325519
E05000290,0.001262588
E05000303,0.00129301
E05000286,0.001350995
E05000300,0.001307789
E05000301,0.001359843
E05000305,0.001340189
E05000291,0.001245767
E05000293,0.001300757
E05000295,0.001346159
E05000304,0.001311674
E05000285,0.001328819
E05000294,0.001387843
E05000299,0.001364555
E05000287,0.001397128
E05000096,0.001413774
E05000104,0.001474056
E05000097,0.001424192
E05000100,0.001548398
E05000103,0.001498629
E05000086,0.001434352
E05000090,0.001439502
E05000101,0.001444497
E05000085,0.00151588
E05000092,0.001586878
E05000091,0.001551928
E05000105,0.001560157
E05000098,0.00157108
E05000087,0.001568244
E05000094,0.001592242
E05000102,0.001516856
E05000093,0.001398254
E05000089,0.001520332
E05000088,0.001528901
E05000095,0.001557824
E05000099,0.001419443
E05000060,0.001358568
E05000056,0.001331534
E05000062,0.001527871
E05000053,0.001568344
E05000046,0.001464555
E05000045,0.001566137
E05000052,0.001549574
E05000051,0.001533618
E05000049,0.001545614
E05000050,0.001405277
E05000057,0.001455335
E05000054,0.001434031
E05000059,0.001387382
E05000058,0.001388441
E05000063,0.001498378
E05000047,0.001496206
E05000043,0.001421506
E05000048,0.001375636
E05000044,0.001434245
E05000055,0.001521814
E05000061,0.001462061
E05000431,0.001483749
E05000428,0.001526096
E05000432,0.00153738
E05000424,0.001534393
E05000433,0.001615627
E05000430,0.001582328
E05000418,0.001644071
E05000417,0.001600252
E05000435,0.001550267
E05000420,0.001646992
E05000421,0.001643908
E05000425,0.001673954
E05000426,0.001677711
E05000436,0.001664308
E05000422,0.001532101
E05000434,0.001583933
E05000423,0.001619109
E05000416,0.001720721
E05000419,0.001664736
E05000429,0.001688424
E05000427,0.001714738
E05000538,0.001507258
E05000548,0.001663839
E05000554,0.001592693
E05000551,0.001585882
E05000539,0.001582202
E05000547,0.001575958
E05000535,0.001646243
E05000534,0.00165636
E05000553,0.001598322
E05000545,0.001611373
E05000546,0.001640533
E05000544,0.001677127
E05000541,0.001669118
E05000540,0.001684359
E05000543,0.001641553
E05000550,0.001654172
E05000536,0.001717252
E05000542,0.001677766
E05000549,0.001585358
E05000552,0.001583472
E05000537,0.001691065
E05000437,0.001479923
E05000453,0.001598006
E05000442,0.001439021
E05000454,0.001441199
E05000438,0.001521367
E05000452,0.001514255
E05000444,0.001566446
E05000450,0.001520671
E05000451,0.001477449
E05000440,0.001493415
E05000441,0.001542441
E05000446,0.001543404
E05000448,0.001525899
E05000439,0.001574383
E05000449,0.001591496
E05000445,0.00146217
E05000447,0.001503449
E05000443,0.001574304
E05000224,0.001516486
E05000217,0.0014289
E05000219,0.001387665
E05000227,0.001449703
E05000225,0.001520974
E05000230,0.001461507
E05000222,0.001528527
E05000220,0.00154384
E05000215,0.00155606
E05000223,0.001502674
E05000218,0.001473525
E05000216,0.001499806
E05000229,0.001468074
E05000226,0.001275744
E05000221,0.001357283
E05000228,0.001297387
E05000214,0.001281462
