GSS_CODE,score
E05000405,0.001211878
E05000414,0.001405012
E05000401,0.001225604
E05000400,0.001658358
E05000402,0.001646955
E05000406,0.00157486
E05000404,0.001106567
E05000413,0.001195863
E05000410,0.001654746
E05000412,0.00102046
E05000408,0.00094986
E05000403,0.000907794
E05000409,0.001361725
E05000407,0.001604752
E05000411,0.001821188
E05000415,0.000631572
E05000150,0.000525392
E05000162,0.0004714
E05000151,0.00080776
E05000167,0.000866979
E05000156,0.000360401
E05000159,0.000772789
E05000160,0.000399598
E05000155,0.00046548
E05000153,0.000940382
E05000149,0.001192629
E05000168,0.001161263
E05000148,0.001451701
E05000158,0.001932401
E05000157,0.000187553
E05000152,0.000695632
E05000154,0.000351873
E05000163,0.000583574
E05000161,0.001154435
E05000147,0.000776592
E05000169,0.000996347
E05000165,0.001474458
E05000166,0.001677006
E05000164,0.001448854
E05000146,0.000849407
E05000117,5.62E-05
E05000119,0.000357504
E05000108,0.000198128
E05000110,4.68E-05
E05000107,0.000106385
E05000127,0.000455766
E05000112,0.000909793
E05000120,0.000584127
E05000118,0.000120073
E05000126,0.000410382
E05000109,0.000331639
E05000106,0.000303435
E05000124,0.000126825
E05000116,0.001357928
E05000123,0.001091013
E05000113,0.00068233
E05000125,0.000288994
E05000111,0.000293727
E05000121,0.000530249
E05000122,9.98E-05
E05000115,0.000183119
E05000114,0.000136021
E05000346,0.000599533
E05000353,0.000883792
E05000350,0.00070638
E05000364,0.000375767
E05000357,0.000737823
E05000356,0.000559901
E05000363,0.00057636
E05000347,0.001330569
E05000348,0.001457605
E05000352,0.000704512
E05000354,0.00079146
E05000351,0.0006292
E05000359,0.000413485
E05000361,0.000505375
E05000355,0.000550309
E05000360,0.000553284
E05000362,0.000867721
E05000358,0.000515256
E05000349,0.001306125
E05000365,0.001528784
E05000186,0.000546864
E05000190,0.000680254
E05000185,0.000991122
E05000172,0.000583821
E05000177,0.000809821
E05000183,0.000841885
E05000182,0.000882908
E05000175,0.002012961
E05000189,0.000538283
E05000176,0.000539035
E05000192,0.00064249
E05000181,0.000575106
E05000184,0.000725912
E05000180,0.000684858
E05000171,0.001044683
E05000178,0.000992347
E05000187,0.001427829
E05000174,0.001227921
E05000173,0.000977472
E05000188,0.001447665
E05000191,0.001446949
E05000170,0.001598546
E05000179,0.001555879
E05000323,0.000786583
E05000318,0.001115917
E05000321,0.001296467
E05000308,0.001299028
E05000306,0.001392802
E05000319,0.001320292
E05000316,0.001312586
E05000317,0.001294703
E05000311,0.001131672
E05000320,0.001188295
E05000309,0.001078391
E05000322,0.001206697
E05000312,0.001010286
E05000307,0.000926048
E05000313,0.000966809
E05000314,0.001085558
E05000310,0.000875818
E05000315,0.001295274
E05000331,0.00075485
E05000330,0.000320509
E05000342,0.000732983
E05000345,0.000676954
E05000341,0.000458906
E05000326,0.00062952
E05000340,0.000701596
E05000332,0.000595321
E05000333,0.000842896
E05000343,0.00048449
E05000335,0.000230353
E05000338,0.000890543
E05000334,0.000511046
E05000329,0.000311101
E05000336,0.000184788
E05000337,0.000790684
E05000325,0.000672765
E05000328,0.00051352
E05000339,0.000671384
E05000324,0.000649624
E05000344,0.000813601
E05000327,0.000427004
E05000302,0.000513668
E05000289,0.000445425
E05000297,0.000102765
E05000298,0.000185423
E05000288,0.000300738
E05000292,0.000114927
E05000296,0.000227081
E05000290,0.000133146
E05000303,0.000228132
E05000286,0.000418541
E05000300,0.000207339
E05000301,0.000390877
E05000305,0.000291219
E05000291,0.000108216
E05000293,0.00016419
E05000295,0.000333376
E05000304,0.000165131
E05000285,0.000297705
E05000294,0.000516316
E05000299,0.000413045
E05000287,0.000589562
E05000096,0.000497223
E05000104,0.000781649
E05000097,0.000651191
E05000100,0.001370733
E05000103,0.001144613
E05000086,0.000765341
E05000090,0.00080727
E05000101,0.000610157
E05000085,0.001069784
E05000092,0.001790384
E05000091,0.001414011
E05000105,0.0015328
E05000098,0.001802503
E05000087,0.001756159
E05000094,0.002197544
E05000102,0.001124474
E05000093,0.000552486
E05000089,0.001242212
E05000088,0.001331503
E05000095,0.001652392
E05000099,0.000685996
E05000060,0.000430219
E05000056,0.000341037
E05000062,0.00139975
E05000053,0.001814417
E05000046,0.001057072
E05000045,0.001902643
E05000052,0.001866764
E05000051,0.001524819
E05000049,0.001823385
E05000050,0.00065656
E05000057,0.001001419
E05000054,0.000772331
E05000059,0.000611437
E05000058,0.000689165
E05000063,0.001325008
E05000047,0.00128016
E05000043,0.000824427
E05000048,0.00060285
E05000044,0.000857562
E05000055,0.001423735
E05000061,0.001079522
E05000431,0.002199946
E05000428,0.002433793
E05000432,0.002497432
E05000424,0.00230115
E05000433,0.003054718
E05000430,0.002718221
E05000418,0.003254971
E05000417,0.002678724
E05000435,0.002000494
E05000420,0.00290603
E05000421,0.002875812
E05000425,0.003319828
