GSS_CODE,score
E05000405,0.00235194
E05000414,0.00235194
E05000401,0.00235194
E05000400,0.00235194
E05000402,0.00235194
E05000406,0.00235194
E05000404,0.00235194
E05000413,0.00235194
E05000410,0.00235194
E05000412,0.00235194
E05000408,0.002804188
E05000403,0.00145092
E05000409,0.00235194
E05000407,0.00235194
E05000411,0.00235194
E05000415,0.001910185
E05000150,0.004504057
E05000162,0.004504057
E05000151,0.005502729
E05000167,0.005502729
E05000156,0.004504057
E05000159,0.005502729
E05000160,0.004504057
E05000155,0.004504057
E05000153,0.005502729
E05000149,0.005502729
E05000168,0.005502729
E05000148,0.005502729
E05000158,0.005502729
E05000157,0.004504057
E05000152,0.004970067
E05000154,0.004504057
E05000163,0.004504057
E05000161,0.005502729
E05000147,0.004504057
E05000169,0.004504057
E05000165,0.005502729
E05000166,0.005502729
E05000164,0.004504057
E05000146,0.005502729
E05000117,0.003150789
E05000119,0.004504057
E05000108,0.003150789
E05000110,0.003713912
E05000107,0.004504057
E05000127,0.004504057
E05000112,0.004504057
E05000120,0.004504057
E05000118,0.003150789
E05000126,0.004504057
E05000109,0.003150789
E05000106,0.003150789
E05000124,0.003150789
E05000116,0.004504057
E05000123,0.004504057
E05000113,0.004504057
E05000125,0.003150789
E05000111,0.003713912
E05000121,0.003940676
E05000122,0.003713912
E05000115,0.003713912
E05000114,0.003713912
E05000346,0.001459176
E05000353,0.002457848
E05000350,0.0014901
E05000364,0.0014901
E05000357,0.0014901
E05000356,0.0014901
E05000363,0.001617239
E05000347,0.004569032
E05000348,0.003672563
E05000352,0.001991838
E05000354,0.001991838
E05000351,0.001459176
E05000359,0.001459176
E05000361,0.0014901
E05000355,0.001617239
E05000360,0.0014901
E05000362,0.002615911
E05000358,0.0014901
E05000349,0.004569032
E05000365,0.004920558
E05000186,0.00230506
E05000190,0.0014901
E05000185,0.004812726
E05000172,0.003201528
E05000177,0.004812726
E05000183,0.004939865
E05000182,0.003328667
E05000175,0.00679919
E05000189,0.0014901
E05000176,0.002432199
E05000192,0.003328667
E05000181,0.003201528
E05000184,0.003553054
E05000180,0.004812726
E05000171,0.005282595
E05000178,0.005282595
E05000187,0.006009632
E05000174,0.005282595
E05000173,0.005282595
E05000188,0.00609891
E05000191,0.004306576
E05000170,0.005908979
E05000179,0.00610854
E05000323,0.000964913
E05000318,0.001394944
E05000321,0.001394944
E05000308,0.001082149
E05000306,0.001277708
E05000319,0.000964913
E05000316,0.001718962
E05000317,0.001376616
E05000311,0.000964913
E05000320,0.000964913
E05000309,0.000964913
E05000322,0.000964913
E05000312,0.000964913
E05000307,0.000964913
E05000313,0.000964913
E05000314,0.000964913
E05000310,0.000964913
E05000315,0.000964913
E05000331,0.001459176
E05000330,0.002386568
E05000342,0.0014901
E05000345,0.0014901
E05000341,0.0014901
E05000326,0.0014901
E05000340,0.003201528
E05000332,0.003201528
E05000333,0.003201528
E05000343,0.004012011
E05000335,0.003559763
E05000338,0.004812726
E05000334,0.004012011
E05000329,0.004012011
E05000336,0.003559763
E05000337,0.0014901
E05000325,0.0014901
E05000328,0.003201528
E05000339,0.003201528
E05000324,0.003201528
E05000344,0.003201528
E05000327,0.004012011
E05000302,0.004012011
