GSS_CODE,score
E05000405,0.002661469
E05000414,0.002789848
E05000401,0.002540451
E05000400,0.003172876
E05000402,0.002965007
E05000406,0.002809084
E05000404,0.002497222
E05000413,0.002521424
E05000410,0.003151655
E05000412,0.002435209
E05000408,0.002430765
E05000403,0.002381035
E05000409,0.002646218
E05000407,0.00283276
E05000411,0.003205144
E05000415,0.002326619
E05000150,0.003518732
E05000162,0.004429808
E05000151,0.003949768
E05000167,0.004461093
E05000156,0.003783328
E05000159,0.004313849
E05000160,0.0041609
E05000155,0.004488593
E05000153,0.004794411
E05000149,0.004451514
E05000168,0.00383486
E05000148,0.003985883
E05000158,0.003657088
E05000157,0.003962076
E05000152,0.004514346
E05000154,0.004340018
E05000163,0.004441251
E05000161,0.004150368
E05000147,0.004371208
E05000169,0.004263855
E05000165,0.00367799
E05000166,0.003548099
E05000164,0.004022924
E05000146,0.004375225
E05000117,0.003167733
E05000119,0.004278894
E05000108,0.003711835
E05000110,0.002870024
E05000107,0.003671147
E05000127,0.004270319
E05000112,0.003950831
E05000120,0.004010171
E05000118,0.003396754
E05000126,0.003858195
E05000109,0.003264872
E05000106,0.003513189
E05000124,0.002979833
E05000116,0.00369002
E05000123,0.003594255
E05000113,0.003662363
E05000125,0.002749616
E05000111,0.003204335
E05000121,0.003066066
E05000122,0.003049341
E05000115,0.002462725
E05000114,0.002243048
E05000346,0.001964962
E05000353,0.002337654
E05000350,0.002796885
E05000364,0.002276312
E05000357,0.002716175
E05000356,0.002596964
E05000363,0.002931641
E05000347,0.004246371
E05000348,0.003866324
E05000352,0.002157907
E05000354,0.002254755
E05000351,0.002506467
E05000359,0.002011631
E05000361,0.002403911
E05000355,0.002659694
E05000360,0.00223831
E05000362,0.002982654
E05000358,0.002573153
E05000349,0.004090763
E05000365,0.004288296
E05000186,0.003131811
E05000190,0.002915503
E05000185,0.004091467
E05000172,0.003531355
E05000177,0.003959173
E05000183,0.004446265
E05000182,0.00391521
E05000175,0.005200722
E05000189,0.002845273
E05000176,0.003435759
E05000192,0.003658535
E05000181,0.003491257
E05000184,0.003870201
E05000180,0.003983371
E05000171,0.004654481
E05000178,0.00447339
E05000187,0.005121232
E05000174,0.00470653
E05000173,0.004561193
E05000188,0.004455675
E05000191,0.004022767
E05000170,0.004878049
E05000179,0.005608786
E05000323,0.001660014
E05000318,0.002513567
E05000321,0.002483956
E05000308,0.001975418
E05000306,0.001922348
E05000319,0.001780015
E05000316,0.001986946
E05000317,0.001916597
E05000311,0.001767171
E05000320,0.001682592
E05000309,0.001622211
E05000322,0.001707339
E05000312,0.001649476
E05000307,0.001572205
E05000313,0.001336691
E05000314,0.001645773
E05000310,0.001338628
E05000315,0.001645533
E05000331,0.0023456
E05000330,0.002690026
E05000342,0.002478632
E05000345,0.002392467
E05000341,0.002474595
E05000326,0.002647174
E05000340,0.003234626
E05000332,0.003040627
E05000333,0.003608312
