NAME,score
Wanxiang Town,0.000561827
Academy Town,0.000401235
Zhoupu Town,0.001819083
Datuan Town,0.000620333
Xuanqiao Town,0.00070956
Kangqiao Town,0.002044092
Huinan Town,0.000727052
Xinchang Town,0.001152164
Hangtou Town,0.001506281
Nanhui New Town,0.00030479
Wuliqiao Street,0.002834068
Dapuqiao Street,0.002883064
Huaihai Zhonglu Street,0.003040059
Ruijin Second Road Street,0.00290164
Huating Town,0.000583875
Nanxiang Town,0.001261269
Jiading Town Street,0.000803999
Waigang Town,0.000539267
Anting Town,0.000600363
Xuhang Town,0.000483999
New Road Street,0.000991867
Jiangqiao Town,0.001721796
Zhenxin Street,0.001708087
Malu Town,0.001027623
Fengpu Street,0.0012811
Situan Town,0.000773191
Fengcheng,0.000722247
Zhuanghang Town,0.000742128
Zhelin Town,0.000913266
Gulf Town,0.000448301
Jinhui Town,0.001064995
Qingcun Town,0.000949184
Friendship Street,0.001902426
Wusong Town Street,0.002084092
Dachang Town,0.00151393
Miaohang Town,0.001960091
Zhangmiao Street,0.002032017
Yuepu Town,0.001108884
Yanghang Town,0.001572526
Songnan Town,0.001897747
Luodian Town,0.001138459
Luojing Town,0.000615625
Gucun Town,0.001717958
Gaojie Town,0.002409083
Samsung Town,4.75E-06
Dongping Town,8.15E-05
Zhongxing Town,0.000432709
Xianghua Town,0.000470203
Chengqiao Town,3.51E-05
Castle Town,0.000293217
Temple town,1.33E-05
Construction Town,5.72E-05
New Village and Township,1.56E-06
Xinhe Town,0.000111873
Xinhai Town,6.95E-05
Hengsha Township,0.000179229
Gangbian Town,0.000223649
Gangxi Town,2.60E-05
Lixin Town,0.000130055
Luhua Town,2.87E-06
Changxing Town,0.001060782
Chenjia,0.000596864
Lingyun Road Street,0.002455056
Huajing Town,0.002303963
Tianping Road Street,0.002767857
Kangjian Xincun Street,0.00255774
Xujiahui Street,0.00268856
Slope Road Street,0.002727468
Fenglin Road Street,0.002761292
Hunan Road Street,0.002764663
