NAME,score
Wanxiang Town,0
Academy Town,0
Zhoupu Town,0.001736102
Datuan Town,8.72E-06
Xuanqiao Town,3.13E-05
Kangqiao Town,0.002193453
Huinan Town,3.08E-05
Xinchang Town,0.000311406
Hangtou Town,0.00096161
Nanhui New Town,0
Wuliqiao Street,0.003383549
Dapuqiao Street,0.003460209
Huaihai Zhonglu Street,0.003665737
Ruijin Second Road Street,0.003495328
Huating Town,1.19E-05
Nanxiang Town,0.000591716
Jiading Town Street,8.22E-05
Waigang Town,5.00E-06
Anting Town,3.19E-05
Xuhang Town,0
New Road Street,0.000222548
Jiangqiao Town,0.001423514
Zhenxin Street,0.001372877
Malu Town,0.000279721
Fengpu Street,0.001020847
Situan Town,3.65E-05
Fengcheng,0.00022685
Zhuanghang Town,0.000535884
Zhelin Town,0.000873385
Gulf Town,0.00016377
Jinhui Town,0.000282233
Qingcun Town,0.000475398
Friendship Street,0.001937325
Wusong Town Street,0.002274906
Dachang Town,0.001047436
Miaohang Town,0.002009947
Zhangmiao Street,0.002149219
Yuepu Town,0.000338002
Yanghang Town,0.001212914
Songnan Town,0.001914281
Luodian Town,0.00038408
Luojing Town,3.99E-05
Gucun Town,0.001486078
Gaojie Town,0.002838947
Samsung Town,0
Dongping Town,0
Zhongxing Town,0
Xianghua Town,0
Chengqiao Town,0
Castle Town,0
Temple town,0
Construction Town,0
New Village and Township,0
Xinhe Town,0
Xinhai Town,0
Hengsha Township,0
Gangbian Town,0
Gangxi Town,0
Lixin Town,0
Luhua Town,0
Changxing Town,0.000341295
Chenjia,1.36E-05
Lingyun Road Street,0.002728048
Huajing Town,0.0025062
Tianping Road Street,0.003262454
Kangjian Xincun Street,0.002907551
Xujiahui Street,0.003126192
Slope Road Street,0.003224217
Fenglin Road Street,0.003249509
Hunan Road Street,0.003273459
Caohejing Street,0.003274245
Tianlin Street,0.003274332
Hongmei Road Street,0.002860199
Long Bridge Street,0.002845508
Longhua Subdistrict,0.0030815
Yichuan Road Street,0.003314418
Cao Yang Xincun Street,0.002906687
Taopu Town,0.001670183
Ganquan Road Street,0.002664153
True as a town street,0.0022813
Shiquan Road Street,0.002741267
Longevity Road Street,0.003155502
Changfeng Xincun Street,0.002804322
Wujiaochang Street,0.003206691
Wujiaochang Town,0.002665628
Siping Road Street,0.003139167
Bridge Street,0.003049421
Dinghai Road Street,0.002628822
Pingliang Road Street,0.003205685
Yanji Xincun Street,0.002834396
Jianjiang Road Street,0.003161877
Xinjiangwancheng Street,0.002790226
Yinhang Street,0.002313607
Jiangpu Road Street,0.003152927
Changbai Xincun Street,0.002408118
Zhongshan Street,0.001817119
Sheshan Town,9.48E-05
Yexie Town,0.001556358
Xiaokunshan Town,0.000191879
Yueyang Street,0.00125742
Xinqiao Town,0.001474588
Xinbang Town,3.15E-05
Yongfeng Street,0.000223578
Sigang Town,0.000545678
Sijing Town,0.000831315
Dongjing Town,0.00120352
Shihudang Town,0.000931706
Chedun Town,0.001259168
Sanlin Town,0.002920811
Shanggang Xincun Street,0.003183825
Dongming Road Street,0.003039836
Beicai Town,0.00254974
South Pier Road Street,0.003006003
Heqing Town,0.001410318
Zhou Jiadu Street,0.003135422
