NAME,score
Wanxiang Town,0
Academy Town,0
Zhoupu Town,0.001134491
Datuan Town,5.23E-07
Xuanqiao Town,7.20E-06
Kangqiao Town,0.001748705
Huinan Town,6.98E-06
Xinchang Town,0.000108857
Hangtou Town,0.000455077
Nanhui New Town,0
Wuliqiao Street,0.004346624
Dapuqiao Street,0.004546379
Huaihai Zhonglu Street,0.005114255
Ruijin Second Road Street,0.004665236
Huating Town,1.08E-06
Nanxiang Town,0.000294243
Jiading Town Street,2.26E-05
Waigang Town,2.58E-07
Anting Town,9.03E-06
Xuhang Town,0
New Road Street,7.81E-05
Jiangqiao Town,0.00100558
Zhenxin Street,0.000932809
Malu Town,0.000109345
Fengpu Street,0.000604545
Situan Town,4.21E-06
Fengcheng,5.61E-05
Zhuanghang Town,0.000357025
Zhelin Town,0.001094316
Gulf Town,3.19E-05
Jinhui Town,5.31E-05
Qingcun Town,0.000264286
Friendship Street,0.00148297
Wusong Town Street,0.001922131
Dachang Town,0.00064525
Miaohang Town,0.001513568
Zhangmiao Street,0.001712994
Yuepu Town,0.00013343
Yanghang Town,0.000658013
Songnan Town,0.001488012
Luodian Town,0.000159655
Luojing Town,1.04E-05
Gucun Town,0.000944255
Gaojie Town,0.003024226
Samsung Town,0
Dongping Town,0
Zhongxing Town,0
Xianghua Town,0
Chengqiao Town,0
Castle Town,0
Temple town,0
Construction Town,0
New Village and Township,0
Xinhe Town,0
Xinhai Town,0
Hengsha Township,0
Gangbian Town,0
Gangxi Town,0
Lixin Town,0
Luhua Town,0
Changxing Town,0.000141165
Chenjia,1.06E-06
Lingyun Road Street,0.002933806
Huajing Town,0.002422253
Tianping Road Street,0.00408584
Kangjian Xincun Street,0.003315097
Xujiahui Street,0.003790709
Slope Road Street,0.003985607
Fenglin Road Street,0.004100751
Hunan Road Street,0.004070629
Caohejing Street,0.004085478
Tianlin Street,0.004081399
Hongmei Road Street,0.003126878
Long Bridge Street,0.003122884
Longhua Subdistrict,0.003588769
Yichuan Road Street,0.004060777
Cao Yang Xincun Street,0.003192299
Taopu Town,0.001137218
Ganquan Road Street,0.002693585
True as a town street,0.001984906
Shiquan Road Street,0.002828766
Longevity Road Street,0.003685609
Changfeng Xincun Street,0.002897252
Wujiaochang Street,0.003875537
Wujiaochang Town,0.002811027
Siping Road Street,0.003705243
Bridge Street,0.003488468
Dinghai Road Street,0.002721749
Pingliang Road Street,0.003862026
Yanji Xincun Street,0.0030713
Jianjiang Road Street,0.003802224
Xinjiangwancheng Street,0.002949366
Yinhang Street,0.002170786
Jiangpu Road Street,0.003730576
Changbai Xincun Street,0.002320037
Zhongshan Street,0.001117728
Sheshan Town,1.88E-05
Yexie Town,0.001540026
Xiaokunshan Town,5.49E-05
Yueyang Street,0.000593775
Xinqiao Town,0.000812491
Xinbang Town,9.64E-06
Yongfeng Street,6.21E-05
Sigang Town,0.000345682
Sijing Town,0.000348506
Dongjing Town,0.000524692
Shihudang Town,0.000549087
Chedun Town,0.000878351
Sanlin Town,0.003148691
Shanggang Xincun Street,0.003792022
Dongming Road Street,0.00342045
Beicai Town,0.002338505
South Pier Road Street,0.003407708
Heqing Town,0.000809552
Zhou Jiadu Street,0.003686616
