NAME,score
Wanxiang Town,4.76E-05
Academy Town,7.83E-05
Zhoupu Town,1.73E-05
Datuan Town,1.83E-05
Xuanqiao Town,1.78E-06
Kangqiao Town,3.01E-05
Huinan Town,1.41E-05
Xinchang Town,8.29E-06
Hangtou Town,7.41E-06
Nanhui New Town,0.000134025
Wuliqiao Street,7.04E-05
Dapuqiao Street,8.42E-05
Huaihai Zhonglu Street,0.000152331
Ruijin Second Road Street,0.000102232
Huating Town,1.11E-05
Nanxiang Town,8.07E-05
Jiading Town Street,1.79E-05
Waigang Town,1.34E-05
Anting Town,6.67E-06
Xuhang Town,5.24E-06
New Road Street,3.64E-05
Jiangqiao Town,0.000114833
Zhenxin Street,0.000100581
Malu Town,4.56E-05
Fengpu Street,5.58E-06
Situan Town,2.58E-05
Fengcheng,5.43E-06
Zhuanghang Town,2.05E-06
Zhelin Town,1.26E-06
Gulf Town,1.62E-06
Jinhui Town,1.95E-06
Qingcun Town,9.16E-06
Friendship Street,6.32E-05
Wusong Town Street,9.17E-05
Dachang Town,0.000102563
Miaohang Town,9.37E-05
Zhangmiao Street,0.000103573
Yuepu Town,3.85E-05
Yanghang Town,9.19E-05
Songnan Town,6.94E-05
Luodian Town,6.49E-05
Luojing Town,1.22E-05
Gucun Town,0.000128576
Gaojie Town,8.37E-05
Samsung Town,1.38E-06
Dongping Town,4.36E-05
Zhongxing Town,0.000228646
Xianghua Town,8.98E-05
Chengqiao Town,2.77E-05
Castle Town,1.76E-05
Temple town,1.78E-05
Construction Town,0.000139738
New Village and Township,4.01E-06
Xinhe Town,9.50E-05
Xinhai Town,3.50E-05
Hengsha Township,9.95E-09
Gangbian Town,3.33E-05
Gangxi Town,6.79E-05
Lixin Town,5.13E-05
Luhua Town,5.95E-07
Changxing Town,1.09E-05
Chenjia,0.000310428
Lingyun Road Street,5.73E-05
Huajing Town,4.82E-05
Tianping Road Street,6.99E-05
Kangjian Xincun Street,6.70E-05
Xujiahui Street,5.81E-05
Slope Road Street,5.21E-05
Fenglin Road Street,6.02E-05
Hunan Road Street,7.81E-05
Caohejing Street,6.29E-05
Tianlin Street,7.72E-05
Hongmei Road Street,8.92E-05
Long Bridge Street,3.67E-05
Longhua Subdistrict,4.47E-05
Yichuan Road Street,8.52E-05
Cao Yang Xincun Street,9.67E-05
Taopu Town,8.95E-05
Ganquan Road Street,8.75E-05
True as a town street,0.000106106
Shiquan Road Street,8.11E-05
Longevity Road Street,8.72E-05
Changfeng Xincun Street,7.63E-05
Wujiaochang Street,7.52E-05
Wujiaochang Town,4.90E-05
Siping Road Street,7.10E-05
Bridge Street,6.05E-05
Dinghai Road Street,4.01E-05
Pingliang Road Street,6.65E-05
Yanji Xincun Street,4.95E-05
Jianjiang Road Street,6.95E-05
Xinjiangwancheng Street,6.03E-05
Yinhang Street,4.34E-05
Jiangpu Road Street,7.08E-05
Changbai Xincun Street,4.05E-05
Zhongshan Street,0.000170714
Sheshan Town,0.000461832
Yexie Town,3.62E-05
Xiaokunshan Town,0.000236673
Yueyang Street,0.000154659
Xinqiao Town,0.000155232
Xinbang Town,2.53E-05
Yongfeng Street,0.00011551
Sigang Town,5.61E-05
Sijing Town,0.000342329
Dongjing Town,0.000367467
Shihudang Town,0.000144797
Chedun Town,4.14E-05
Sanlin Town,5.22E-05
Shanggang Xincun Street,5.55E-05
Dongming Road Street,5.82E-05
Beicai Town,3.76E-05
South Pier Road Street,4.86E-05
Heqing Town,1.27E-05
Zhou Jiadu Street,5.56E-05
Tang Zhen,3.29E-05
Tangqiao Street,6.17E-05
Zhangjiang Town,2.75E-05
Cao Lu Town,1.42E-05
"Xincun Street, East Shanghai",2.72E-05
Yangjing Subdistrict,5.11E-05
Puxing Road Street,3.54E-05
Weifang Xincun Street,6.58E-05
Huamu Street,5.07E-05
Jinyang Xincun Street,5.22E-05
Jinqiao Town,3.80E-05
Lujiazui Street,7.71E-05
Gaodong,3.86E-05
Gaoqiao Town,4.12E-05
Gaohang Town,2.10E-05
Liangcheng Xincun Street,0.000101448
Jiaxing Road Street,8.02E-05
Guangzhong Road Street,8.17E-05
North Bund Street,9.06E-05
Quyang Road Street,0.000100609
Ouyang Road Street,8.94E-05
Jiangwan Town Street,8.27E-05
Tinglin Town,2.61E-06
Jinshan Weizhen,6.78E-07
Luxiang Town,2.37E-06
