NAME,score
Wanxiang Town,2.18E-05
Academy Town,1.33E-05
Zhoupu Town,5.24E-05
Datuan Town,2.24E-05
Xuanqiao Town,2.41E-05
Kangqiao Town,9.14E-05
Huinan Town,2.24E-05
Xinchang Town,5.24E-05
Hangtou Town,4.99E-05
Nanhui New Town,6.30E-06
Wuliqiao Street,8.51E-05
Dapuqiao Street,8.51E-05
Huaihai Zhonglu Street,8.51E-05
Ruijin Second Road Street,8.51E-05
Huating Town,3.81E-05
Nanxiang Town,8.51E-05
Jiading Town Street,8.51E-05
Waigang Town,7.81E-05
Anting Town,7.72E-05
Xuhang Town,4.51E-05
New Road Street,8.51E-05
Jiangqiao Town,8.51E-05
Zhenxin Street,8.51E-05
Malu Town,8.51E-05
Fengpu Street,8.77E-05
Situan Town,2.41E-05
Fengcheng,3.18E-05
Zhuanghang Town,4.87E-05
Zhelin Town,3.92E-05
Gulf Town,1.01E-05
Jinhui Town,3.18E-05
Qingcun Town,4.93E-05
Friendship Street,4.51E-05
Wusong Town Street,7.54E-05
Dachang Town,8.51E-05
Miaohang Town,8.51E-05
Zhangmiao Street,8.51E-05
Yuepu Town,4.51E-05
Yanghang Town,8.51E-05
Songnan Town,7.54E-05
Luodian Town,8.51E-05
Luojing Town,3.81E-05
Gucun Town,8.51E-05
Gaojie Town,8.51E-05
Samsung Town,2.96E-05
Dongping Town,6.28E-05
Zhongxing Town,7.42E-05
Xianghua Town,7.42E-05
Chengqiao Town,2.96E-05
Castle Town,6.58E-05
Temple town,2.96E-05
Construction Town,2.96E-05
New Village and Township,2.96E-05
Xinhe Town,6.28E-05
Xinhai Town,6.28E-05
Hengsha Township,0
Gangbian Town,6.58E-05
Gangxi Town,2.96E-05
Lixin Town,6.28E-05
Luhua Town,2.96E-05
Changxing Town,7.83E-05
Chenjia,9.68E-05
Lingyun Road Street,8.51E-05
Huajing Town,8.51E-05
Tianping Road Street,8.51E-05
Kangjian Xincun Street,8.51E-05
Xujiahui Street,8.51E-05
Slope Road Street,8.51E-05
Fenglin Road Street,8.51E-05
Hunan Road Street,8.51E-05
Caohejing Street,8.51E-05
Tianlin Street,8.51E-05
Hongmei Road Street,8.51E-05
Long Bridge Street,8.51E-05
Longhua Subdistrict,8.51E-05
Yichuan Road Street,8.51E-05
Cao Yang Xincun Street,8.51E-05
Taopu Town,8.51E-05
Ganquan Road Street,8.51E-05
True as a town street,8.51E-05
Shiquan Road Street,8.51E-05
Longevity Road Street,8.51E-05
Changfeng Xincun Street,8.51E-05
Wujiaochang Street,8.51E-05
Wujiaochang Town,7.39E-05
Siping Road Street,8.51E-05
Bridge Street,8.51E-05
Dinghai Road Street,7.39E-05
Pingliang Road Street,8.51E-05
Yanji Xincun Street,8.51E-05
Jianjiang Road Street,8.51E-05
Xinjiangwancheng Street,8.51E-05
Yinhang Street,4.51E-05
Jiangpu Road Street,8.51E-05
Changbai Xincun Street,8.51E-05
Zhongshan Street,8.51E-05
Sheshan Town,8.20E-05
Yexie Town,8.14E-05
Xiaokunshan Town,7.83E-05
Yueyang Street,8.51E-05
Xinqiao Town,8.51E-05
Xinbang Town,7.00E-05
Yongfeng Street,7.83E-05
Sigang Town,7.00E-05
Sijing Town,8.51E-05
Dongjing Town,8.51E-05
Shihudang Town,8.14E-05
Chedun Town,8.14E-05
Sanlin Town,9.14E-05
Shanggang Xincun Street,8.51E-05
Dongming Road Street,9.14E-05
Beicai Town,9.14E-05
South Pier Road Street,8.51E-05
Heqing Town,8.46E-05
Zhou Jiadu Street,8.51E-05
Tang Zhen,5.30E-05
Tangqiao Street,8.51E-05
Zhangjiang Town,8.17E-05
Cao Lu Town,7.83E-05
"Xincun Street, East Shanghai",4.67E-05
Yangjing Subdistrict,8.51E-05
Puxing Road Street,4.67E-05
Weifang Xincun Street,8.51E-05
Huamu Street,8.17E-05
Jinyang Xincun Street,8.17E-05
Jinqiao Town,5.30E-05
Lujiazui Street,8.51E-05
Gaodong,7.98E-05
Gaoqiao Town,4.51E-05
Gaohang Town,4.51E-05
Liangcheng Xincun Street,8.51E-05
Jiaxing Road Street,8.51E-05
Guangzhong Road Street,8.51E-05
North Bund Street,8.51E-05
Quyang Road Street,8.51E-05
Ouyang Road Street,8.51E-05
Jiangwan Town Street,8.51E-05
Tinglin Town,5.34E-05
Jinshan Weizhen,4.37E-05
Luxiang Town,4.37E-05
Shanyang Town,4.10E-05
Langxia Town,4.37E-05
Zhangyan Town,4.37E-05
Zhujing Town,4.82E-05
Fengjing Town,5.07E-05
Caojing Town,8.82E-06
Petrochemical Street,1.56E-06
Xianxia Xincun Street,8.51E-05
Beixinjing Street,8.51E-05
Huayang Road Street,8.51E-05
Zhou Jiaqiao Street,8.51E-05
Tianshan Road Street,8.51E-05
Xinhua Road Street,8.51E-05
Xinjing Town,8.51E-05
Jiangsu Road Street,8.51E-05
Chengjiaqiao Street,8.51E-05
Hongqiao Street,8.51E-05
Qibao Town,8.51E-05
Huacao Town,8.51E-05
Gumei Road Street,8.51E-05
Wujing Town,8.51E-05
Xinhong Street,8.51E-05
Meilong Town,8.51E-05
Jiangchuan Road Street,7.83E-05
Xinzhuang Town,8.51E-05
Hongqiao Town,8.51E-05
Zhunqiao Town,8.51E-05
Maqiao Town,8.14E-05
Linfen Road Street,8.51E-05
Gongxin Road Street,8.51E-05
North Station Street,8.51E-05
Daning Road Street,8.51E-05
Tianmu West Road Street,8.51E-05
Baoshan Road Street,8.51E-05
Pengpu Xincun Street,8.51E-05
Pengpu Town,8.51E-05
Zhijiang West Road Street,8.51E-05
Huaxin Town,8.51E-05
Xiayang Street,8.20E-05
Jing Town,8.51E-05
Zhujiajiao Town,8.14E-05
Baihe Town,8.51E-05
Yingpu Street,7.44E-05
Liantang Town,4.92E-05
Zhaoxiang Town,8.51E-05
Chonggu Town,8.51E-05
Jinze Town,7.13E-05
Xianghuaqiao Street,8.20E-05
Nanjing West Road Street,8.51E-05
Caojiadu Street,8.51E-05
Jiangning Road Street,8.51E-05
Shimen Second Street,8.51E-05
Jingan Temple Street,8.51E-05
Bansong Garden,8.51E-05
Nanjing East Road,8.51E-05
The Bund,8.51E-05
Little East Gate,8.51E-05
Old Simon,8.51E-05
Yu Garden,8.51E-05
Nanqiao Town,3.79E-05
Xidu Street,8.77E-05
Pujiang Town,9.14E-05
Pujin Street,8.51E-05
Jiuting Town,8.51E-05
Jiuliting Street,8.51E-05
Fangsong Street,8.14E-05
Guangfulin Street,8.14E-05
Chuansha New Town,8.17E-05
Zhuqiao Town,3.34E-05
Laogang Town,2.37E-05
Nicheng,1.88E-05
Changzheng Town,8.51E-05
Wanli Street,8.51E-05
Sichuan North Road Street,8.51E-05
