NAME,score
Wanxiang Town,5.51E-05
Academy Town,7.64E-05
Zhoupu Town,1.85E-05
Datuan Town,2.54E-05
Xuanqiao Town,0
Kangqiao Town,2.93E-05
Huinan Town,1.93E-05
Xinchang Town,8.28E-06
Hangtou Town,6.79E-06
Nanhui New Town,0.000104679
Wuliqiao Street,6.52E-05
Dapuqiao Street,7.79E-05
Huaihai Zhonglu Street,0.000149107
Ruijin Second Road Street,9.73E-05
Huating Town,1.32E-05
Nanxiang Town,6.58E-05
Jiading Town Street,1.67E-05
Waigang Town,7.47E-06
Anting Town,4.12E-06
Xuhang Town,4.81E-06
New Road Street,3.36E-05
Jiangqiao Town,0.00013001
Zhenxin Street,9.64E-05
Malu Town,4.55E-05
Fengpu Street,4.46E-06
Situan Town,3.42E-05
Fengcheng,5.02E-06
Zhuanghang Town,6.12E-07
Zhelin Town,5.87E-07
Gulf Town,0
Jinhui Town,1.23E-07
Qingcun Town,1.07E-05
Friendship Street,5.93E-05
Wusong Town Street,7.93E-05
Dachang Town,8.32E-05
Miaohang Town,8.23E-05
Zhangmiao Street,9.04E-05
Yuepu Town,4.03E-05
Yanghang Town,7.91E-05
Songnan Town,6.67E-05
Luodian Town,5.74E-05
Luojing Town,1.44E-05
Gucun Town,9.69E-05
Gaojie Town,8.09E-05
Samsung Town,0
Dongping Town,4.54E-05
Zhongxing Town,0.000257197
Xianghua Town,0.000115356
Chengqiao Town,3.46E-05
Castle Town,4.98E-06
Temple town,2.24E-05
Construction Town,0.000111342
New Village and Township,1.47E-06
Xinhe Town,8.74E-05
Xinhai Town,3.84E-05
Hengsha Township,0
Gangbian Town,2.97E-05
Gangxi Town,7.03E-05
Lixin Town,5.51E-05
Luhua Town,0
Changxing Town,2.97E-06
Chenjia,0.000318007
Lingyun Road Street,4.88E-05
Huajing Town,4.21E-05
Tianping Road Street,6.72E-05
Kangjian Xincun Street,6.20E-05
Xujiahui Street,5.11E-05
Slope Road Street,5.19E-05
Fenglin Road Street,5.91E-05
Hunan Road Street,7.59E-05
Caohejing Street,5.39E-05
Tianlin Street,7.44E-05
Hongmei Road Street,9.33E-05
Long Bridge Street,3.35E-05
Longhua Subdistrict,4.44E-05
Yichuan Road Street,8.03E-05
Cao Yang Xincun Street,8.76E-05
Taopu Town,7.92E-05
Ganquan Road Street,8.02E-05
True as a town street,9.87E-05
Shiquan Road Street,7.73E-05
Longevity Road Street,8.58E-05
Changfeng Xincun Street,6.91E-05
Wujiaochang Street,7.52E-05
Wujiaochang Town,5.22E-05
Siping Road Street,7.24E-05
Bridge Street,6.01E-05
Dinghai Road Street,4.22E-05
Pingliang Road Street,6.52E-05
Yanji Xincun Street,5.06E-05
Jianjiang Road Street,6.82E-05
Xinjiangwancheng Street,6.35E-05
Yinhang Street,4.74E-05
Jiangpu Road Street,7.08E-05
Changbai Xincun Street,4.26E-05
Zhongshan Street,0.000200905
Sheshan Town,0.000419945
Yexie Town,3.29E-05
Xiaokunshan Town,0.000282716
Yueyang Street,0.000182804
Xinqiao Town,0.00018516
Xinbang Town,1.80E-05
Yongfeng Street,0.000135695
Sigang Town,6.97E-05
Sijing Town,0.000329158
Dongjing Town,0.000336413
Shihudang Town,0.0001913
Chedun Town,4.06E-05
Sanlin Town,5.05E-05
Shanggang Xincun Street,5.68E-05
Dongming Road Street,5.66E-05
Beicai Town,3.49E-05
South Pier Road Street,4.59E-05
Heqing Town,1.27E-05
Zhou Jiadu Street,5.62E-05
Tang Zhen,3.07E-05
Tangqiao Street,5.54E-05
Zhangjiang Town,2.64E-05
Cao Lu Town,1.45E-05
"Xincun Street, East Shanghai",2.90E-05
Yangjing Subdistrict,4.81E-05
Puxing Road Street,3.62E-05
Weifang Xincun Street,6.18E-05
Huamu Street,3.93E-05
Jinyang Xincun Street,4.96E-05
Jinqiao Town,3.72E-05
Lujiazui Street,7.13E-05
Gaodong,4.30E-05
Gaoqiao Town,4.58E-05
Gaohang Town,2.09E-05
Liangcheng Xincun Street,9.26E-05
Jiaxing Road Street,7.86E-05
Guangzhong Road Street,7.99E-05
North Bund Street,8.27E-05
Quyang Road Street,9.17E-05
Ouyang Road Street,8.51E-05
Jiangwan Town Street,8.08E-05
Tinglin Town,1.64E-06
Jinshan Weizhen,0
Luxiang Town,7.60E-07
Shanyang Town,5.17E-08
Langxia Town,1.60E-07
Zhangyan Town,1.45E-07
Zhujing Town,2.46E-06
Fengjing Town,3.45E-06
Caojing Town,0
Petrochemical Street,0
Xianxia Xincun Street,0.000114636
Beixinjing Street,0.00011383
Huayang Road Street,6.52E-05
Zhou Jiaqiao Street,0.000104309
Tianshan Road Street,0.000117358
Xinhua Road Street,0.000126099
Xinjing Town,0.000134108
Jiangsu Road Street,0.000112511
Chengjiaqiao Street,0.000152215
Hongqiao Street,0.000189048
Qibao Town,0.000156092
Huacao Town,7.76E-05
Gumei Road Street,9.05E-05
Wujing Town,2.89E-05
Xinhong Street,0.000146579
Meilong Town,5.84E-05
Jiangchuan Road Street,4.22E-06
Xinzhuang Town,7.88E-05
Hongqiao Town,0.000130886
Zhunqiao Town,2.07E-05
Maqiao Town,1.04E-05
Linfen Road Street,8.88E-05
Gongxin Road Street,0.000107821
North Station Street,7.93E-05
Daning Road Street,9.05E-05
Tianmu West Road Street,8.85E-05
