NAME,score
Wanxiang Town,0.000420574
Academy Town,0.000283501
Zhoupu Town,0.00130813
Datuan Town,0.000467504
Xuanqiao Town,0.000505632
Kangqiao Town,0.001480175
Huinan Town,0.000474782
Xinchang Town,0.000798416
Hangtou Town,0.001111248
Nanhui New Town,0.000244681
Wuliqiao Street,0.00181985
Dapuqiao Street,0.001878423
Huaihai Zhonglu Street,0.002110335
Ruijin Second Road Street,0.001944808
Huating Town,0.000668051
Nanxiang Town,0.001326739
Jiading Town Street,0.00100796
Waigang Town,0.000669907
Anting Town,0.000609863
Xuhang Town,0.000721159
New Road Street,0.00117018
Jiangqiao Town,0.001517191
Zhenxin Street,0.00155407
Malu Town,0.001147177
Fengpu Street,0.001045593
Situan Town,0.000588023
Fengcheng,0.000592819
Zhuanghang Town,0.000574811
Zhelin Town,0.000680233
Gulf Town,0.000402639
Jinhui Town,0.000865189
Qingcun Town,0.000783376
Friendship Street,0.001333638
Wusong Town Street,0.001423348
Dachang Town,0.001543179
Miaohang Town,0.001544305
Zhangmiao Street,0.001605074
Yuepu Town,0.001038206
Yanghang Town,0.001429644
Songnan Town,0.001432054
Luodian Town,0.001084734
Luojing Town,0.000697414
Gucun Town,0.001523178
Gaojie Town,0.001711792
Samsung Town,0.000584246
Dongping Town,0.000463768
Zhongxing Town,0.000480695
Xianghua Town,0.000603899
Chengqiao Town,0.000867026
Castle Town,0.000483555
Temple town,0.000748109
Construction Town,0.000752034
New Village and Township,0.000368553
Xinhe Town,0.000724626
Xinhai Town,0.000428803
Hengsha Township,0.000132973
Gangbian Town,0.000453817
Gangxi Town,0.000766397
Lixin Town,0.000582058
Luhua Town,0.000503287
Changxing Town,0.000782042
Chenjia,0.000560283
Lingyun Road Street,0.001761642
Huajing Town,0.001727314
Tianping Road Street,0.001875063
Kangjian Xincun Street,0.001809111
Xujiahui Street,0.001860888
Slope Road Street,0.001808864
Fenglin Road Street,0.001888158
Hunan Road Street,0.00186109
Caohejing Street,0.001874143
Tianlin Street,0.001923224
Hongmei Road Street,0.001843871
Long Bridge Street,0.001716871
Longhua Subdistrict,0.001798571
Yichuan Road Street,0.001968285
Cao Yang Xincun Street,0.001884583
Taopu Town,0.001636485
Ganquan Road Street,0.001841403
True as a town street,0.001860138
Shiquan Road Street,0.001843282
Longevity Road Street,0.001974798
Changfeng Xincun Street,0.001826246
Wujiaochang Street,0.001797484
Wujiaochang Town,0.001594105
Siping Road Street,0.001798821
Bridge Street,0.001699678
Dinghai Road Street,0.001525787
Pingliang Road Street,0.00173974
Yanji Xincun Street,0.001651183
Jianjiang Road Street,0.001770271
Xinjiangwancheng Street,0.001605253
Yinhang Street,0.001391354
Jiangpu Road Street,0.001730376
Changbai Xincun Street,0.001517104
Zhongshan Street,0.001116382
Sheshan Town,0.000703264
Yexie Town,0.000992064
Xiaokunshan Town,0.000694746
Yueyang Street,0.000941306
Xinqiao Town,0.001084131
Xinbang Town,0.000492652
Yongfeng Street,0.000644286
Sigang Town,0.000585285
Sijing Town,0.001056678
Dongjing Town,0.001021496
Shihudang Town,0.000827237
Chedun Town,0.000914159
Sanlin Town,0.001790797
Shanggang Xincun Street,0.001894699
Dongming Road Street,0.001838869
Beicai Town,0.001446118
South Pier Road Street,0.001686088
Heqing Town,0.000995692
Zhou Jiadu Street,0.001797797
Tang Zhen,0.001429773
Tangqiao Street,0.001656596
Zhangjiang Town,0.001466688
Cao Lu Town,0.00102691
"Xincun Street, East Shanghai",0.001342313
Yangjing Subdistrict,0.001666415
Puxing Road Street,0.001377417
Weifang Xincun Street,0.001752128
Huamu Street,0.00152601
Jinyang Xincun Street,0.001633757
Jinqiao Town,0.001447845
Lujiazui Street,0.001806638
Gaodong,0.001326949
Gaoqiao Town,0.001253268
Gaohang Town,0.001346673
Liangcheng Xincun Street,0.001899253
Jiaxing Road Street,0.001863643
Guangzhong Road Street,0.001822108
North Bund Street,0.001895025
Quyang Road Street,0.00193423
Ouyang Road Street,0.00190972
Jiangwan Town Street,0.001771856
Tinglin Town,0.000552818
Jinshan Weizhen,0.000273182
Luxiang Town,0.000264448
Shanyang Town,0.000443782
Langxia Town,0.000198409
Zhangyan Town,0.000328466
Zhujing Town,0.000384086
Fengjing Town,0.00038584
Caojing Town,0.000388385
Petrochemical Street,0.000168395
Xianxia Xincun Street,0.001816149
Beixinjing Street,0.001753555
Huayang Road Street,0.001834272
Zhou Jiaqiao Street,0.00188107
Tianshan Road Street,0.001963554
Xinhua Road Street,0.001991366
Xinjing Town,0.001670527
Jiangsu Road Street,0.001989617
Chengjiaqiao Street,0.001763619
Hongqiao Street,0.002052211
Qibao Town,0.001737725
Huacao Town,0.001280901
Gumei Road Street,0.001693497
Wujing Town,0.001676388
Xinhong Street,0.001489914
Meilong Town,0.001763641
Jiangchuan Road Street,0.000890638
Xinzhuang Town,0.001515822
Hongqiao Town,0.001849183
Zhunqiao Town,0.001248375
Maqiao Town,0.000947837
Linfen Road Street,0.001725113
Gongxin Road Street,0.001981301
North Station Street,0.001878799
Daning Road Street,0.001839781
Tianmu West Road Street,0.001913831
Baoshan Road Street,0.001885724
Pengpu Xincun Street,0.001717266
Pengpu Town,0.0018629
Zhijiang West Road Street,0.001923373
Huaxin Town,0.001154124
Xiayang Street,0.001033774
Jing Town,0.001491815
Zhujiajiao Town,0.000665891
Baihe Town,0.000753998
Yingpu Street,0.000562096
Liantang Town,0.000383367
Zhaoxiang Town,0.00128529
Chonggu Town,0.001087688
Jinze Town,0.000511774
Xianghuaqiao Street,0.000676203
Nanjing West Road Street,0.001936439
Caojiadu Street,0.001885851
Jiangning Road Street,0.001842086
Shimen Second Street,0.001907752
Jingan Temple Street,0.001975064
Bansong Garden,0.001822095
Nanjing East Road,0.001983453
The Bund,0.001859884
Little East Gate,0.001848335
Old Simon,0.001940956
Yu Garden,0.00193172
Nanqiao Town,0.000739729
Xidu Street,0.001047082
Pujiang Town,0.001491205
Pujin Street,0.001450658
Jiuting Town,0.001271141
Jiuliting Street,0.001685642
Fangsong Street,0.000813738
Guangfulin Street,0.000654525
Chuansha New Town,0.001289663
Zhuqiao Town,0.000618136
Laogang Town,0.00048349
Nicheng,0.000433876
Changzheng Town,0.001716236
Wanli Street,0.001704834
Sichuan North Road Street,0.001852085
