NAME,score
Wanxiang Town,2.21E-06
Academy Town,0
Zhoupu Town,0.001206495
Datuan Town,2.84E-05
Xuanqiao Town,2.77E-05
Kangqiao Town,0.001522294
Huinan Town,0
Xinchang Town,0.000213555
Hangtou Town,0.000974907
Nanhui New Town,0
Wuliqiao Street,0.001999962
Dapuqiao Street,0.002114808
Huaihai Zhonglu Street,0.002458562
Ruijin Second Road Street,0.002191975
Huating Town,0.0004319
Nanxiang Town,0.001339225
Jiading Town Street,0.000769384
Waigang Town,0.000314275
Anting Town,0.000175148
Xuhang Town,0.000467628
New Road Street,0.00105168
Jiangqiao Town,0.001603091
Zhenxin Street,0.001653904
Malu Town,0.001053529
Fengpu Street,0.001078239
Situan Town,0.000345848
Fengcheng,0.000440203
Zhuanghang Town,0.000443526
Zhelin Town,0.000657302
Gulf Town,0.000365024
Jinhui Town,0.000657197
Qingcun Town,0.000696173
Friendship Street,0.001233343
Wusong Town Street,0.001333462
Dachang Town,0.001689919
Miaohang Town,0.001667669
Zhangmiao Street,0.001782766
Yuepu Town,0.00080533
Yanghang Town,0.00151515
Songnan Town,0.001395392
Luodian Town,0.000909528
Luojing Town,0.000331138
Gucun Town,0.001649569
Gaojie Town,0.001910939
Samsung Town,0.000866578
Dongping Town,0.000380842
Zhongxing Town,0
Xianghua Town,3.42E-05
Chengqiao Town,0.001379269
Castle Town,0
Temple town,0.001197016
Construction Town,0.001147482
New Village and Township,0.00023854
Xinhe Town,0.001031976
Xinhai Town,0.000283437
Hengsha Township,0
Gangbian Town,2.62E-05
Gangxi Town,0.001214744
Lixin Town,0.000651345
Luhua Town,0.000664367
Changxing Town,0.000307134
Chenjia,7.75E-07
Lingyun Road Street,0.001869725
Huajing Town,0.001886219
Tianping Road Street,0.002040459
Kangjian Xincun Street,0.001958898
Xujiahui Street,0.002009109
Slope Road Street,0.001964018
Fenglin Road Street,0.002079371
Hunan Road Street,0.002031555
Caohejing Street,0.002094189
Tianlin Street,0.002073398
Hongmei Road Street,0.001996941
Long Bridge Street,0.001818034
Longhua Subdistrict,0.001947506
Yichuan Road Street,0.002283073
Cao Yang Xincun Street,0.002186097
Taopu Town,0.001800327
Ganquan Road Street,0.002139227
True as a town street,0.002177783
Shiquan Road Street,0.002088856
Longevity Road Street,0.002262555
Changfeng Xincun Street,0.002071007
Wujiaochang Street,0.002048796
Wujiaochang Town,0.001660963
Siping Road Street,0.002010186
Bridge Street,0.001841324
Dinghai Road Street,0.00152636
Pingliang Road Street,0.001912268
Yanji Xincun Street,0.001756385
Jianjiang Road Street,0.001945604
Xinjiangwancheng Street,0.001703771
Yinhang Street,0.001330157
Jiangpu Road Street,0.001875087
Changbai Xincun Street,0.00153245
Zhongshan Street,0.000720594
Sheshan Town,0.00011857
Yexie Town,0.000781321
Xiaokunshan Town,0.000252861
Yueyang Street,0.000519189
Xinqiao Town,0.000740114
Xinbang Town,7.04E-05
Yongfeng Street,0.000204662
Sigang Town,0.000146167
Sijing Town,0.000639256
Dongjing Town,0.000568939
Shihudang Town,0.000424556
Chedun Town,0.000544169
Sanlin Town,0.001947908
Shanggang Xincun Street,0.002079854
Dongming Road Street,0.002024471
Beicai Town,0.001467135
South Pier Road Street,0.00183129
Heqing Town,0.000631221
Zhou Jiadu Street,0.001966223
Tang Zhen,0.001419522
Tangqiao Street,0.001764879
Zhangjiang Town,0.0014841
Cao Lu Town,0.000667858
"Xincun Street, East Shanghai",0.001205011
Yangjing Subdistrict,0.00181756
Puxing Road Street,0.001275329
Weifang Xincun Street,0.001935283
Huamu Street,0.001616191
Jinyang Xincun Street,0.001734043
Jinqiao Town,0.001420219
Lujiazui Street,0.002007684
Gaodong,0.001166649
Gaoqiao Town,0.001038186
Gaohang Town,0.00117367
Liangcheng Xincun Street,0.002257353
Jiaxing Road Street,0.002108009
Guangzhong Road Street,0.002093131
North Bund Street,0.00214952
Quyang Road Street,0.002245387
Ouyang Road Street,0.002201732
Jiangwan Town Street,0.002049882
Tinglin Town,0.000357677
Jinshan Weizhen,4.14E-05
Luxiang Town,0
Shanyang Town,0.000280272
Langxia Town,0
Zhangyan Town,8.99E-05
Zhujing Town,0.000150085
Fengjing Town,0
Caojing Town,0.000260876
Petrochemical Street,0
Xianxia Xincun Street,0.002044392
Beixinjing Street,0.001949147
Huayang Road Street,0.002042456
Zhou Jiaqiao Street,0.002171424
Tianshan Road Street,0.0021964
Xinhua Road Street,0.00223369
Xinjing Town,0.001832064
Jiangsu Road Street,0.002178144
Chengjiaqiao Street,0.002001029
Hongqiao Street,0.002448172
Qibao Town,0.002042812
Huacao Town,0.001143334
Gumei Road Street,0.001926617
Wujing Town,0.002065779
Xinhong Street,0.001517846
Meilong Town,0.002053444
Jiangchuan Road Street,0.000742623
Xinzhuang Town,0.001618276
Hongqiao Town,0.002126347
Zhunqiao Town,0.001164386
Maqiao Town,0.000672749
Linfen Road Street,0.001982714
Gongxin Road Street,0.002319723
North Station Street,0.002145728
Daning Road Street,0.002173877
Tianmu West Road Street,0.002172537
Baoshan Road Street,0.002150434
Pengpu Xincun Street,0.001980311
Pengpu Town,0.002223972
Zhijiang West Road Street,0.002160192
Huaxin Town,0.00089843
Xiayang Street,0.000593713
Jing Town,0.00145761
Zhujiajiao Town,9.12E-05
Baihe Town,0.000315265
Yingpu Street,4.53E-05
Liantang Town,0
Zhaoxiang Town,0.001053226
Chonggu Town,0.000755761
Jinze Town,3.12E-05
Xianghuaqiao Street,0.000120604
Nanjing West Road Street,0.002133506
Caojiadu Street,0.002118535
Jiangning Road Street,0.002018858
Shimen Second Street,0.002189773
Jingan Temple Street,0.002166218
Bansong Garden,0.002010444
Nanjing East Road,0.002309555
The Bund,0.002108218
Little East Gate,0.002050864
Old Simon,0.002200538
Yu Garden,0.002217936
Nanqiao Town,0.000798417
Xidu Street,0.001038153
Pujiang Town,0.001693728
Pujin Street,0.001400639
Jiuting Town,0.000972073
Jiuliting Street,0.001851009
Fangsong Street,0.000382252
Guangfulin Street,0.000176432
Chuansha New Town,0.001173404
Zhuqiao Town,4.35E-05
Laogang Town,0
Nicheng,0.00015255
Changzheng Town,0.001896799
Wanli Street,0.001912148
Sichuan North Road Street,0.002049485
