NAME,score
Wanxiang Town,0.000117278
Academy Town,3.24E-05
Zhoupu Town,0.001203097
Datuan Town,0.000157186
Xuanqiao Town,0.000132696
Kangqiao Town,0.001460971
Huinan Town,0.00013407
Xinchang Town,0.000492643
Hangtou Town,0.000981144
Nanhui New Town,2.34E-05
Wuliqiao Street,0.001987063
Dapuqiao Street,0.002089241
Huaihai Zhonglu Street,0.002472841
Ruijin Second Road Street,0.002186921
Huating Town,0.000465939
Nanxiang Town,0.001278648
Jiading Town Street,0.000858639
Waigang Town,0.000393426
Anting Town,0.00028378
Xuhang Town,0.000526184
New Road Street,0.001074175
Jiangqiao Town,0.001560148
Zhenxin Street,0.001611863
Malu Town,0.00105468
Fengpu Street,0.001016526
Situan Town,0.000348584
Fengcheng,0.000402842
Zhuanghang Town,0.00041314
Zhelin Town,0.000584506
Gulf Town,0.000271707
Jinhui Town,0.000695588
Qingcun Town,0.000689843
Friendship Street,0.001269107
Wusong Town Street,0.001384
Dachang Town,0.001589143
Miaohang Town,0.001585174
Zhangmiao Street,0.001680529
Yuepu Town,0.000849829
Yanghang Town,0.001423862
Songnan Town,0.001411626
Luodian Town,0.000932198
Luojing Town,0.000431836
Gucun Town,0.001554823
Gaojie Town,0.001851444
Samsung Town,0.000759586
Dongping Town,0.000408813
Zhongxing Town,0.000101592
Xianghua Town,0.000271931
Chengqiao Town,0.001291483
Castle Town,0.000218375
Temple town,0.001081342
Construction Town,0.001028384
New Village and Township,0.000330301
Xinhe Town,0.000911503
Xinhai Town,0.000353978
Hengsha Township,0
Gangbian Town,0.000231435
Gangxi Town,0.001100718
Lixin Town,0.000587467
Luhua Town,0.000597097
Changxing Town,0.000417939
Chenjia,0.000124322
Lingyun Road Street,0.001921503
Huajing Town,0.001869934
Tianping Road Street,0.002074807
Kangjian Xincun Street,0.002001111
Xujiahui Street,0.00205706
Slope Road Street,0.001968197
Fenglin Road Street,0.002095263
Hunan Road Street,0.002050453
Caohejing Street,0.002099067
Tianlin Street,0.002167178
Hongmei Road Street,0.002039248
Long Bridge Street,0.00183418
Longhua Subdistrict,0.001958809
Yichuan Road Street,0.002234921
Cao Yang Xincun Street,0.002121126
Taopu Town,0.001727287
Ganquan Road Street,0.002044146
True as a town street,0.002090341
Shiquan Road Street,0.002043923
Longevity Road Street,0.002248536
Changfeng Xincun Street,0.002011013
Wujiaochang Street,0.001967361
Wujiaochang Town,0.001660369
Siping Road Street,0.001964883
Bridge Street,0.001815092
Dinghai Road Street,0.001544303
Pingliang Road Street,0.001882217
Yanji Xincun Street,0.001734875
Jianjiang Road Street,0.001925522
Xinjiangwancheng Street,0.001663418
Yinhang Street,0.001347321
Jiangpu Road Street,0.001871533
Changbai Xincun Street,0.001535065
Zhongshan Street,0.000915844
Sheshan Town,0.00031781
Yexie Town,0.000812919
Xiaokunshan Town,0.000342547
Yueyang Street,0.000657215
Xinqiao Town,0.000891334
Xinbang Town,0.000158706
Yongfeng Street,0.000301762
Sigang Town,0.000284786
Sijing Town,0.000790879
Dongjing Town,0.000740079
Shihudang Town,0.00054145
Chedun Town,0.000656302
Sanlin Town,0.0019509
Shanggang Xincun Street,0.002111029
Dongming Road Street,0.002028091
Beicai Town,0.001417838
South Pier Road Street,0.001776663
Heqing Town,0.000754764
Zhou Jiadu Street,0.001953407
Tang Zhen,0.00137654
Tangqiao Street,0.001732623
Zhangjiang Town,0.001428877
Cao Lu Town,0.000789025
"Xincun Street, East Shanghai",0.001260375
Yangjing Subdistrict,0.00177057
Puxing Road Street,0.001313917
Weifang Xincun Street,0.001901068
Huamu Street,0.001546921
Jinyang Xincun Street,0.001703696
Jinqiao Town,0.001409782
Lujiazui Street,0.001987427
Gaodong,0.001202093
Gaoqiao Town,0.001129802
Gaohang Town,0.001249133
Liangcheng Xincun Street,0.002142534
Jiaxing Road Street,0.002078239
Guangzhong Road Street,0.002008072
North Bund Street,0.002122103
Quyang Road Street,0.002184732
Ouyang Road Street,0.00213873
Jiangwan Town Street,0.001944237
Tinglin Town,0.000352223
Jinshan Weizhen,0.000103921
Luxiang Town,6.93E-05
Shanyang Town,0.000262675
Langxia Town,2.76E-05
Zhangyan Town,0.000135592
Zhujing Town,0.000184806
Fengjing Town,8.94E-05
Caojing Town,0.00022729
Petrochemical Street,2.82E-05
Xianxia Xincun Street,0.002001859
Beixinjing Street,0.001929476
Huayang Road Street,0.002013592
Zhou Jiaqiao Street,0.002106661
Tianshan Road Street,0.002235312
Xinhua Road Street,0.002280302
Xinjing Town,0.001799066
Jiangsu Road Street,0.002267535
Chengjiaqiao Street,0.001944847
Hongqiao Street,0.002401772
Qibao Town,0.001930296
Huacao Town,0.001149958
Gumei Road Street,0.001849059
Wujing Town,0.00189532
Xinhong Street,0.001490407
Meilong Town,0.001973858
Jiangchuan Road Street,0.000711631
Xinzhuang Town,0.001589636
Hongqiao Town,0.002077165
Zhunqiao Town,0.001176976
Maqiao Town,0.000731881
Linfen Road Street,0.00187097
Gongxin Road Street,0.002262377
North Station Street,0.002092347
Daning Road Street,0.002051694
Tianmu West Road Street,0.00214197
Baoshan Road Street,0.002098328
Pengpu Xincun Street,0.001861293
Pengpu Town,0.002093449
Zhijiang West Road Street,0.002151373
Huaxin Town,0.000966082
Xiayang Street,0.000764222
Jing Town,0.001493646
Zhujiajiao Town,0.00028185
Baihe Town,0.00043252
Yingpu Street,0.000175234
Liantang Town,6.94E-05
Zhaoxiang Town,0.001146774
Chonggu Town,0.000860939
Jinze Town,0.000130672
Xianghuaqiao Street,0.000328726
Nanjing West Road Street,0.002171945
Caojiadu Street,0.002097632
Jiangning Road Street,0.002020332
Shimen Second Street,0.002136858
Jingan Temple Street,0.002242717
Bansong Garden,0.001994988
Nanjing East Road,0.002257169
The Bund,0.002064483
Little East Gate,0.002037602
Old Simon,0.002184472
Yu Garden,0.002178817
Nanqiao Town,0.000713801
Xidu Street,0.000976459
Pujiang Town,0.001554953
Pujin Street,0.001420045
Jiuting Town,0.001134375
Jiuliting Street,0.001815633
Fangsong Street,0.000486542
Guangfulin Street,0.000285038
Chuansha New Town,0.001164552
Zhuqiao Town,0.000243876
Laogang Town,0.000105532
Nicheng,0.000180613
Changzheng Town,0.001842751
Wanli Street,0.0018277
Sichuan North Road Street,0.002048009
